,horse_name,win_loss_rate,is_winner
0, 帶運伯樂,4.15,0
1, 福駿寶  ,17.0,0
2, 升力    ,13.0,0
3, 永常勝  ,99.0,0
4, 金銀花  ,2.6,1
5, 彩球    ,2.85,0
6, 摯愛財星,39.0,0
7, 永得米  ,14.0,0
