,horse_name,win_loss_rate,is_winner
0, 幸福指數,3.55,0
1, 新力風  ,2.75,1
2, 華恩庭  ,5.6,0
3, 控制者  ,23.0,0
4, 崇山寶  ,4.6,0
5, 隨心隨意,11.0,0
6, 金滿載  ,28.0,0
