Index,acquirers,0,1,2,3,4,5,6,7,8,9
2980,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HARRIS TAUBMAN FINANCIAL CORPORATION,NORTHERN STATES FINANCIAL CORPORATION,"NEBRASKALAND FINANCIAL SERVICES, INC.",SOUTHEASTERN BANK FINANCIAL CORPORATION,TRUSTATLANTIC FINANCIAL CORPORATION,FARMERS AND MERCHANTS FINANCIAL CORPORATION,BANK OF HIGHLAND PARK FINANCIAL CORP
2981,Hamilton Bancorp,"MILTON BANCORP, INC.","WEST MILTON BANCORP, INC.",HORIZON BANCORP,MISSION BANCORP,MNB BANCORP,NAPOLEON BANCORP,SAN BANCORP.,HOMETOWN BANC CORP,WASHINGTON BANCORP,HEMET BANCORP
2982,CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,CENTRAL STATE BANCORPORATION,"SUNTRUST BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",EXCHANGE STATE BANK CORP.,"FIRST INTERSTATE BANCSYSTEM, INC.","MID STATE BANKS, INC.","STATE BANKSHARES, INC.","AMERICAN INTERSTATE BANCORPORATION, INC."
2983,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","COMMUNITY BANKS OF GEORGIA, INC.",BRIDGE COMMUNITY BANK ESOP,"UNITED COMMUNITY BANCORP, INC.",COMMUNITY BANK CORP.,"UNITED COMMUNITY BANCSHARES, INC.",COMMUNITY BANCORP,"VIRGINIA COMMUNITY BANKSHARES, INC.","FLORIDA COMMUNITY BANKSHARES, INC.","UNITED BANKSHARES, INC."
2984,Heritagemmerce,HERITAGE COMMERCE CORP,"HERITAGE BANCORP, INC.","HERITAGE BANCSHARES, INC.","HERITAGE GROUP, INC.","HERITAGE BANCSHARES GROUP, INC.","HERITAGE BANKSHARES, INC.","HERITAGE MANAGEMENT COMPANY, INC.",HERITAGE BANCORP,"TEXAS HERITAGE BANCSHARES, INC.","AMERICAN COMMERCE BANCSHARES, INC."
2985,Merchants Bancshares,"MERCHANTS BANCSHARES, INC.",MERCHANTS BANCORP,"FARMERS & MERCHANTS BANCSHARES, INC.","FARMERS AND MERCHANTS BANCSHARES, INC.","FARMERS AND MERCHANTS BANKSHARES, INC.","MERCHANTS & PLANTERS BANCSHARES, INC.","MERCHANTS & FARMERS BANCSHARES, INC.","PEOPLES EXCHANGE BANCSHARES, INC.","MERCHANTS AND FARMERS BANCSHARES, INC.",FARMERS & MERCHANTS BANCORP
2986,Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"OCEANPOINT FINANCIAL PARTNERS, MHC",BAC FINANCIAL INC.,"C1 FINANCIAL, INC.","MB FINANCIAL, INC.",BNH FINANCIAL,PROGRESSIVE NATIONAL FINANCIAL CORPORATION,"SV FINANCIAL, INC.",ALLY FINANCIAL INC.
2987,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"BANK OF NOVA SCOTIA, THE","BANKERS' BANK OF THE WEST BANCORP, INC.",BANK OF ERATH HOLDING COMPANY,FIRST STATE BANK OF THE FLORIDA KEYS HOLDING COMPANY,BANK OF SOUTH CAROLINA CORPORATION,"BANK OF SOUTHSIDE VIRGINIA CORPORATION, THE","BANK OF THE JAMES FINANCIAL GROUP, INC.","BANK OF NEW YORK MELLON CORPORATION, THE"
2988,Baylake,BAYLAKE CORP.,BAYBANK CORPORATION,"FIRST STATE BANCSHARES OF BLAKELY, INC.",CAYUGA LAKE BANK CORPORATION,LAKE FINANCIAL CORPORATION,LAKELAND FINANCIAL CORPORATION,COOPER LAKE FINANCIAL CORPORATION,"CLARKEL, INC.",BARCLAYS PLC,WALKER BAN CO.
2989,Firstmmonwealth Finl,FIRST COMMONWEALTH FINANCIAL CORPORATION,"FIRST WESTERN FINANCIAL, INC.",FIRST NATIONAL FINANCIAL CORPORATION,FIRST PERSONAL FINANCIAL CORP.,"COMMONWEALTH BANCSHARES, INC.",FIRST COMMERCIAL FINANCIAL CORP,"FIRST SUFFIELD FINANCIAL, INC.",FIRST NATIONAL CAPITAL CORPORATION,BANK FIRST NATIONAL CORPORATION,FIRST OF MINDEN FINANCIAL CORPORATION
