Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20130320,06,9,盈威勇士,4,馬偉昌,128,8,55,摩,1078,5.8,4.3,2.5,904.0,572.0,1.1,2 2 2,1,28.76 23.16 23.58 23.57,(1.39.07),頭馬
20130320,06,13,生豪,6,賴維銘,118,2,45,鄭,1051,17.0,11.0,18.0,126.0,124.0,5.2,5 5 4,2,29.2 23.36 23.42 23.52,(1.39.5),2-3/4
20130320,06,7,大有作為,5,郭立基,129,1,56,葉,1175,4.8,3.8,3.6,641.0,400.0,1.6,3 3 3,3,29.04 23.16 23.58 23.79,(1.39.57),3
20130320,06,12,樂融融,5,鄭雨滇,120,10,47,徐,1121,28.0,22.0,35.0,66.0,88.0,7.4,1 1 1,4,28.36 22.48 23.78 25.1,(1.39.72),4
20130320,06,4,勁飛馳,8,柏寶,131,5,58,伍,1085,5.4,7.0,8.5,271.0,325.0,2.0,8 8 8,5,29.84 23.28 23.42 23.27,(1.39.81),4-1/2
20130320,06,14,華劍寶,7,何澤堯,112,7,42,苗,1055,50.0,74.0,67.0,34.0,44.0,14.0,6 6 6,6,29.44 23.4 23.46 23.53,(1.39.83),4-3/4
20130320,06,10,無雙小子,8,巫斯義,127,4,54,呂,1125,15.0,16.0,24.0,94.0,111.0,5.9,9 9 10,7,29.88 23.4 23.42 23.19,(1.39.89),5
20130320,06,3,新強勁,8,安國倫,132,11,59,薛,1093,7.4,17.0,20.0,112.0,146.0,4.4,10 11 9,8,29.92 23.68 23.06 23.32,(1.39.98),5-3/4
20130320,06,5,金獅猛將,7,韋達,130,9,57,時,1079,17.0,13.0,15.0,150.0,164.0,3.9,4 4 5,9,29.2 23.2 23.7 24.1,(1.40.2),7
20130320,06,6,威仔皇,6,蔡明紹,128,3,57,告,1163,10.0,8.9,13.0,171.0,163.0,4.0,7 7 7,10,29.48 23.52 23.5 23.92,(1.40.42),8-1/2
20130320,06,11,環保之星,5,梁家俊,120,12,49,賀,1063,51.0,58.0,82.0,27.0,37.0,17.0,12 10 11,11,30.2 23.24 23.62 23.42,(1.40.48),8-3/4
20130320,06,2,齊喝采,7,楊明綸,131,6,60,李,960,11.0,14.0,22.0,104.0,83.0,7.9,11 13 13,12,30.2 23.56 23.66 23.14,(1.40.56),9-1/4
20130320,06,1,傳奇快車,6,呂卓賢,123,14,60,姚,1162,20.0,27.0,27.0,84.0,91.0,7.1,14 14 12,13,30.44 23.36 23.46 23.4,(1.40.66),10
20130320,06,8,精彩遊戲,5,蘇狄雄,126,13,56,蔡,1172,40.0,83.0,99.0,19.0,28.0,23.0,13 12 14,14,30.32 23.36 23.94 25.96,(1.43.58),28-1/4
