Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20091219,10,2,披星戴月,4,韋達,132,8,78,蔡,1105,1.8,1.6,1.7,976.0,311.0,1.2,2 3 4,1,24.99 23.64 24.6 23.19,(1.36.42),頭馬
20091219,10,5,威騰駒,4,衛韜禮,126,4,72,胡,1182,11.0,10.0,9.3,179.0,148.0,2.5,5 5 6,2,25.31 23.44 24.6 23.12,(1.36.47),頸
20091219,10,1,鎗臣,4,白德民,133,5,79,摩,1272,16.0,23.0,22.0,75.0,78.0,4.7,3 2 2,3,25.11 23.4 24.64 23.32,(1.36.47),頸
20091219,10,11,真奇寶,5,楊明綸,112,14,65,薛,950,24.0,50.0,42.0,39.0,46.0,8.0,1 1 1,4,24.95 23.44 24.72 23.64,(1.36.75),2
20091219,10,9,金獅猛將,4,馬偉昌,121,12,67,時,1072,33.0,43.0,30.0,54.0,69.0,5.4,11 11 10,5,25.59 23.64 24.36 23.19,(1.36.78),2-1/4
20091219,10,12,精玲大師,5,徐君禮,114,3,63,東,1232,20.0,20.0,16.0,101.0,103.0,3.6,4 6 8,6,25.19 23.72 24.6 23.32,(1.36.83),2-1/2
20091219,10,13,電訊高星,4,勞愛德,117,1,63,方,1098,8.6,5.9,6.1,275.0,216.0,1.7,10 10 9,7,25.55 23.56 24.4 23.37,(1.36.88),3
20091219,10,14,衝勁直前,8,蘇狄雄,106,11,62,何,1092,20.0,43.0,55.0,30.0,51.0,7.2,14 14 12,8,26.11 23.32 24.36 23.1,(1.36.89),3
20091219,10,3,本地實力,6,王志偉,126,10,75,葉,1117,21.0,59.0,79.0,21.0,27.0,13.0,6 4 3,9,25.35 23.36 24.48 23.8,(1.36.99),3-1/2
20091219,10,7,哈哈大少,8,巫斯義,124,6,70,文,1060,19.0,28.0,35.0,46.0,61.0,6.0,8 8 5,10,25.47 23.52 24.32 23.75,(1.37.06),4
20091219,10,8,悅璐孖寶,4,柏寶,123,13,69,賀,970,19.0,14.0,10.0,152.0,153.0,2.4,9 7 7,11,25.51 23.48 24.44 23.66,(1.37.09),4-1/4
20091219,10,10,福將臨門,5,鄭雨滇,118,7,66,徐,1132,41.0,63.0,81.0,20.0,17.0,21.0,13 13 13,12,25.91 23.52 24.36 23.47,(1.37.26),5-1/4
20091219,10,6,皇馬,5,蔡明紹,121,2,72,東,1204,20.0,30.0,36.0,45.0,55.0,6.7,7 9 11,13,25.43 23.68 24.64 23.75,(1.37.5),6-3/4
20091219,10,4,凱風,7,郭爾達,127,9,73,李,1230,38.0,99.0,99.0,11.0,12.0,29.0,12 12 14,14,25.67 23.68 24.64 23.64,(1.37.63),7-1/2
