Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20151206,02,12,天狼星,5,黃皓楠,105,1,19,徐,1097,4.5,5.1,5.2,268.0,197.0,2.0,4 3,1,23.94 23.31 23.49,(1.10.74),頭馬
20151206,02,5,永得米,6,莫雷拉,130,4,37,文,1114,5.2,4.2,5.1,272.0,232.0,1.7,6 6,2,24.26 23.39 23.14,(1.10.79),頸
20151206,02,10,輕越直前,9,蘇狄雄,119,10,28,何,1102,14.0,15.0,20.0,67.0,99.0,4.0,12 11,3,25.06 22.91 22.96,(1.10.93),1-1/4
20151206,02,9,皇仁勁駒,9,韋達,121,12,28,鄭,1206,14.0,13.0,15.0,89.0,94.0,4.2,11 12,4,24.74 23.27 22.96,(1.10.97),1-1/2
20151206,02,11,智能,5,楊明綸,111,2,20,李,993,15.0,14.0,14.0,93.0,103.0,3.8,7 5,5,24.26 23.19 23.55,(1.11.00),1-1/2
20151206,02,4,帝飛星,5,梁家俊,129,5,38,高,1085,10.0,11.0,15.0,87.0,97.0,4.1,3 4,6,23.82 23.55 23.74,(1.11.11),2-1/4
20151206,02,7,齊飛,6,蔣嘉琦,117,9,34,葉,1095,25.0,22.0,16.0,83.0,70.0,5.7,8 8,7,24.5 23.27 23.38,(1.11.15),2-1/2
20151206,02,1,快快贏,7,柏寶,133,8,40,方,1091,6.0,4.6,2.6,529.0,341.0,1.2,2 2,8,23.66 23.59 23.96,(1.11.21),3
20151206,02,3,踏雪名駒,5,鄭雨滇,132,3,39,孫,1083,11.0,8.8,13.0,100.0,110.0,3.6,9 10,9,24.54 23.35 23.71,(1.11.6),5-1/4
20151206,02,6,星星的您,4,霍勵賢,128,6,35,時,1087,10.0,22.0,36.0,38.0,46.0,8.7,5 7,10,24.06 23.63 23.95,(1.11.64),5-1/2
20151206,02,2,泰山,6,何澤堯,131,11,40,告,1240,18.0,37.0,56.0,24.0,26.0,15.0,10 9,11,24.66 23.15 24.06,(1.11.87),7
20151206,02,8,你同我定,4,田泰安,123,7,30,苗,1018,22.0,26.0,43.0,32.0,42.0,9.5,1 1,12,23.58 23.47 25.14,(1.12.19),9
