Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20120609,02,10,特別熊,4,王志偉,114,5,43,苗,1143,14.0,13.0,22.0,62.0,81.0,4.8,1 1,1,24.19 22.3 23.44,(1.09.93),頭馬
20120609,02,1,威力寶,4,安國倫,133,11,60,蔡,1249,2.8,2.7,3.2,439.0,261.0,1.5,2 2,2,24.35 22.5 23.45,(1.10.3),2-1/4
20120609,02,9,創新潮,3,杜利萊,125,4,52,高,1186,23.0,13.0,5.1,275.0,227.0,1.7,5 5,3,24.59 22.66 23.05,(1.10.3),2-1/4
20120609,02,6,快樂良友,4,梁家俊,123,1,50,蘇,1179,32.0,61.0,99.0,12.0,14.0,28.0,7 6,4,24.83 22.5 23.15,(1.10.48),3-1/2
20120609,02,2,一定快,5,蔡明紹,128,3,57,東,1037,8.8,12.0,17.0,78.0,87.0,4.4,8 7,5,24.87 22.74 22.95,(1.10.56),4
20120609,02,12,大將軍,4,普萊西,114,10,41,葉,1106,6.8,6.1,3.4,410.0,276.0,1.4,12 12,6,25.31 22.58 22.77,(1.10.66),4-1/2
20120609,02,5,金鑽龍華,7,黎海榮,126,12,55,華,1152,10.0,11.0,17.0,80.0,96.0,4.0,3 4,7,24.39 22.66 23.72,(1.10.77),5-1/4
20120609,02,11,寶樹嘉盈,4,湯智傑,112,8,41,方,1047,18.0,27.0,43.0,32.0,47.0,8.2,11 11,8,25.11 22.74 23.04,(1.10.89),6
20120609,02,4,聖樂邦,5,馬偉昌,129,9,56,時,1052,10.0,9.8,15.0,89.0,103.0,3.8,9 10,9,24.99 22.86 23.23,(1.11.08),7-1/4
20120609,02,3,尊皇騰龍,6,潘頓,129,2,56,呂,1081,14.0,16.0,23.0,59.0,59.0,6.6,4 3,10,24.55 22.5 24.08,(1.11.13),7-1/2
20120609,02,7,威祥,3,郭立基,125,7,52,吳,1048,8.9,7.5,9.2,152.0,157.0,2.5,6 8,11,24.75 22.9 24.33,(1.11.98),12-3/4
20120609,02,8,天富,3,楊明綸,122,6,52,李,1128,32.0,56.0,94.0,14.0,14.0,26.0,10 9,12,25.07 22.62 24.4,(1.12.09),13-1/2
20120617,11,5,全能足球,4,杜利萊,121,5,85,文,1079,45.0,72.0,99.0,21.0,20.0,28.0,11 11 12,13,28.4 23.37 24.19 26.32,(1.42.28),22-1/4
20120617,11,4,獵豹小子,5,潘頓,125,8,89,徐,1120,11.0,10.0,12.0,183.0,154.0,3.7,13 13 14,14,28.64 23.25 24.39 29.7,(1.45.98),45-1/4
