Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080518,10,8,功力勝,7,冼文諾,119,3,86,摩,1082,15.0,23.0,22.0,78.0,54.0,4.1-7.8,6  6  6,1,26.3	24.0	23.1	22.2,(1.35.6),頭馬
20080518,10,3,勝眼光,4,韋達,131,8,98,蔡,1082,2.6,2.2,2.2,798.0,485.0,1.3-1.4,4  4  4,2,26.2	23.9	23.1	22.5,(1.35.7),頸
20080518,10,13,飛躍龍門,7,黎海榮,112,7,82,李,1177,27.0,33.0,44.0,39.0,41.0,5.2-10,1  1  1,3,26.0	23.7	23.2	22.8,(1.35.7),1/2
20080518,10,2,利好,4,巫斯義,132,9,99,時,1096,9.7,9.9,10.0,166.0,142.0,2-3.4,8  8  9,4,26.6	24.0	23.0	22.1,(1.35.7),1/2
20080518,10,1,大將風範,4,徐君禮,128,4,100,東,1041,11.0,7.8,8.3,212.0,121.0,2.2-3.8,5  5  5,5,26.3	23.8	23.2	22.5,(1.35.8),3/4
20080518,10,12,元武者,5,普萊西,116,13,83,蘇,995,20.0,22.0,20.0,87.0,71.0,3.3-6.1,12  11  11,6,27.1	24.0	22.6	22.2,(1.35.9),1-3/4
20080518,10,9,花好月圓,4,潘頓,119,11,86,摩,1169,5.5,6.5,6.8,259.0,176.0,1.8-2.9,9  9  8,7,26.8	24.0	22.8	22.4,(1.36.0),2-1/4
20080518,10,4,寶樹勁盈,5,楊啟棠,122,2,94,文,1059,15.0,11.0,10.0,167.0,155.0,1.9-3.1,13  13  13,8,27.3	24.1	22.7	22.0,(1.36.1),3
20080518,10,7,駿綵,4,高雅志,122,1,89,賀,1268,15.0,11.0,12.0,145.0,98.0,2.6-4.6,7  7  7,9,26.5	23.9	23.1	22.6,(1.36.1),3
20080518,10,10,一口田,6,鄭雨滇,115,10,84,摩,1101,14.0,38.0,45.0,38.0,31.0,6.7-13,10  10  10,10,26.8	24.1	22.8	22.4,(1.36.1),3
20080518,10,11,大贏家,5,王志偉,113,12,83,葉,1222,20.0,46.0,41.0,42.0,42.0,5.1-9.9,11  12  12,11,27.0	24.1	22.7	22.3,(1.36.1),3-1/4
20080518,10,6,心福,5,薄奇能,125,5,92,時,1091,26.0,44.0,46.0,38.0,30.0,6.9-13,2  3  3,12,26.0	23.8	23.3	23.2,(1.36.3),4-1/2
20080518,10,5,龍的風采,4,湯智傑,121,6,93,方,1130,31.0,38.0,29.0,59.0,38.0,5.6-10,3  2  2,13,26.0	23.7	23.3	23.8,(1.36.8),7-3/4
