Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,05,13,機緣熱焰,4,賴維銘,114,5,44,吳,990,16.0,19.0,17.0,60.0,50.0,3.6-6.4,9  8  9  9,1,26.0	24.5	25.5	24.5	23.4,(2.03.9),頭馬
20080525,05,2,雙妙星,4,韋達,127,4,55,時,1026,8.1,4.6,4.7,226.0,209.0,1.6-2,8  9  8  7,2,25.9	24.7	25.4	24.3	23.8,(2.04.1),1-1/2
20080525,05,14,羅漢,3,王志偉,111,8,42,伍,1039,9.0,15.0,17.0,62.0,51.0,3.6-6.4,1  3  4  5,3,25.5	24.6	25.5	24.6	24.2,(2.04.4),2-3/4
20080525,05,1,勁者,5,白德民,129,14,57,摩,1215,19.0,20.0,23.0,45.0,44.0,4.1-7.3,14  14  13  11,4,27.0	24.6	25.1	23.9	23.8,(2.04.4),2-3/4
20080525,05,9,皇帝駕到,4,潘頓,120,3,48,薛,1159,13.0,13.0,11.0,90.0,85.0,2.4-4.1,5  6  7  6,5,25.7	24.6	25.5	24.5	24.3,(2.04.6),4-1/4
20080525,05,10,快活英雄,7,巫斯義,120,7,47,鄭,1153,10.0,15.0,16.0,66.0,52.0,3.6-6.3,12  11  11  10,6,26.5	24.4	25.5	24.2	24.1,(2.04.7),5
20080525,05,11,鬚刨王,4,黎海榮,117,6,47,李,1143,30.0,26.0,13.0,80.0,65.0,3-5.1,6  7  6  8,7,25.8	24.6	25.4	24.6	24.3,(2.04.7),5
20080525,05,4,神箭金剛,4,柏寶,125,9,53,葉,1063,4.0,2.8,3.2,336.0,272.0,1.4-1.7,11  10  10  12,8,26.3	24.6	25.5	24.4	24.0,(2.04.8),5-3/4
20080525,05,8,勁兔,8,普萊西,120,2,48,告,1033,16.0,22.0,28.0,37.0,47.0,3.9-6.9,7  5  5  3,9,25.9	24.4	25.3	24.6	25.0,(2.05.2),8
20080525,05,3,龍翔,7,鄭雨滇,124,11,54,徐,1085,17.0,20.0,21.0,49.0,64.0,3-5.2,4  4  3  4,10,25.6	24.5	25.4	24.7	25.1,(2.05.3),8-1/2
20080525,05,12,足球大師,4,湯智傑,112,10,45,姚,987,9.2,12.0,9.1,118.0,91.0,2.3-3.9,10  12  12  13,11,26.2	24.9	25.5	24.3	24.4,(2.05.3),8-3/4
20080525,05,5,日中天,8,楊啟棠,120,12,53,苗,1005,15.0,30.0,38.0,27.0,26.0,6.3-11,13  13  14  14,12,26.7	24.6	25.5	24.3	24.5,(2.05.6),10-1/2
20080525,05,6,皇仁俊駒,4,徐君禮,108,13,41,李,1049,20.0,33.0,22.0,48.0,28.0,5.9-10,3  2  2  2,13,25.6	24.2	25.5	24.8	25.9,(2.06.0),13
20080525,05,7,心寶貝,6,薄奇能,129,1,57,蘇,1238,15.0,17.0,18.0,58.0,48.0,3.8-6.8,2  1  1  1,14,25.5	24.2	25.5	24.8	26.9,(2.06.9),18-1/2
