Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,04,8,超班,3,韋達,121,9,68,蔡,1095,2.6,1.8,1.7,710.0,597.0,1.1-1.2,9  10  8,1,25.3	23.9	24.2	22.6,(1.36.0),頭馬
20080525,04,9,飛快勁,3,潘頓,121,5,68,姚,1047,6.9,12.0,11.0,109.0,100.0,1.9-4.1,5  5  6,2,24.9	24.0	24.4	22.9,(1.36.2),1-1/4
20080525,04,1,同一夢想,5,白德民,133,14,80,摩,1064,10.0,15.0,16.0,74.0,67.0,2.5-5.8,7  4  3,3,25.1	23.5	24.5	23.4,(1.36.5),2-3/4
20080525,04,13,危險英駿,4,普萊西,116,6,63,薛,1078,15.0,20.0,15.0,82.0,82.0,2.2-4.9,10  9  9,4,25.4	23.7	24.4	23.0,(1.36.5),3-1/4
20080525,04,4,奇異之星,4,柏寶,129,3,76,賀,1100,7.1,6.2,7.8,159.0,101.0,1.9-4.1,8  7  7,5,25.1	23.9	24.3	23.3,(1.36.6),3-1/4
20080525,04,6,卓越歡騰,5,薄奇能,127,7,74,時,1031,23.0,55.0,58.0,21.0,22.0,6.2-16,11  11  12,6,25.6	23.7	24.3	23.1,(1.36.7),4
20080525,04,11,好著數,5,高雅志,119,4,66,方,1021,27.0,32.0,35.0,35.0,43.0,3.5-8.7,14  14  11,7,26.0	23.6	24.0	23.2,(1.36.8),4-1/2
20080525,04,3,牛精富星,4,徐君禮,125,8,77,東,1142,19.0,18.0,14.0,84.0,55.0,2.9-6.9,6  8  4,8,25.1	23.9	24.1	23.7,(1.36.8),4-3/4
20080525,04,5,川河飛駒,4,賴維銘,126,11,75,蘇,1077,53.0,99.0,99.0,7.0,12.0,10-27,13  13  14,9,25.8	23.8	24.3	22.9,(1.36.8),5
20080525,04,14,利之寶,6,薛順強,111,1,60,沈,1128,21.0,38.0,46.0,26.0,34.0,4.3-10,12  12  13,10,25.7	23.9	24.3	23.1,(1.37.0),5-3/4
20080525,04,7,衝勁寶,7,巫斯義,126,13,73,李,1192,21.0,18.0,17.0,70.0,73.0,2.3-5.4,1  1  1,11,24.5	23.7	24.7	24.4,(1.37.3),8
20080525,04,10,開心錢,6,鄭雨滇,118,12,67,華,1101,16.0,29.0,36.0,33.0,34.0,4.2-10,2  2  2,12,24.5	23.9	24.5	24.8,(1.37.7),10-1/4
20080525,04,2,大家平安,4,湯智傑,126,10,78,姚,1069,20.0,16.0,15.0,80.0,66.0,2.5-5.9,3  3  5,13,24.6	24.0	24.5	24.6,(1.37.7),10-1/2
20080525,04,12,天才小子,4,黎海榮,114,2,63,呂,1169,43.0,99.0,99.0,9.0,10.0,12-34,4  6  10,14,24.8	24.1	24.7	27.0,(1.40.6),28-1/2
