Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080512,01,2,原路人,6,徐君禮,125,7,58,賀,1176,8.2,7.5,9.1,121.0,121.0,1.7-3.1,1   1,1,13.7	21.4	22.4,(57.5),頭馬
20080512,01,8,連利精英,3,柏寶,124,14,52,葉,1032,7.5,4.8,4.9,225.0,168.0,1.4-2.4,10   6,2,14.1	21.3	22.2,(57.6),1/2
20080512,01,5,皇仁神駒,3,巫斯義,127,9,55,李,1103,5.3,5.9,5.9,186.0,205.0,1.3-2.1,4   5,3,13.9	21.4	22.4,(57.7),1
20080512,01,13,喜在心頭,5,冼文諾,115,2,43,吳,1095,49.0,57.0,44.0,25.0,18.0,7.3-16,13   13,4,14.2	21.6	21.9,(57.7),1-1/4
20080512,01,11,剛剛好,4,湯智傑,115,11,48,吳,1107,22.0,25.0,36.0,30.0,29.0,4.8-10,2   2,5,13.8	21.4	22.6,(57.8),1-3/4
20080512,01,4,順利贏,4,韋達,128,13,56,胡,1212,3.0,2.7,2.1,518.0,342.0,1.2-1.5,3   3,6,13.8	21.4	22.6,(57.8),1-3/4
20080512,01,1,京城孖寶,6,賴維銘,128,10,58,吳,1074,13.0,13.0,15.0,73.0,71.0,2.4-4.8,8   9,7,14.1	21.4	22.3,(57.8),2
20080512,01,12,秒秒領先,3,楊啟棠,113,5,46,苗,1122,35.0,80.0,96.0,11.0,9.0,13-32,5   4,8,13.9	21.4	22.6,(57.9),2-1/2
20080512,01,3,新勝利,5,魯柏軒,122,12,57,徐,1154,40.0,35.0,43.0,25.0,22.0,6.2-14,7   7,9,14.0	21.4	22.7,(58.1),3-3/4
20080512,01,7,赤道驕雄,4,鄭雨滇,122,3,52,徐,1098,18.0,22.0,32.0,33.0,30.0,4.6-10,12   12,10,14.1	21.5	22.9,(58.5),6-1/4
20080512,01,14,奇泓小子,5,薄奇能,115,6,42,姚,1158,31.0,45.0,66.0,16.0,17.0,7.6-17,11   11,11,14.1	21.5	23.0,(58.6),6-3/4
20080512,01,10,飛躍之旅,4,普萊西,122,4,50,蘇,1041,12.0,14.0,19.0,56.0,50.0,3.1-6.6,6   8,12,13.9	21.5	23.8,(59.2),10-1/4
20080512,01,6,我跑得,3,梁明偉,121,8,52,何,981,47.0,99.0,99.0,7.0,8.0,15-35,9   10,13,14.1	21.6	23.5,(59.2),10-1/2
20080512,01,9,好運財星,4,黎海榮,121,1,52,華,924,19.0,46.0,72.0,15.0,14.0,9.3-21,14   14,14,14.4	21.5	23.7,(59.6),13-1/4
