Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20170118,03,5,活力寶,6,田泰安,117,8,94,蔡,1146,9.8,11.0,6.5,283.0,192.0,2.3,5 5,1,23.37 22.1 23.18,(1.08.65),頭馬
20170118,03,7,亞馬寶寶,6,巫顯東,104,5,91,徐,1144,20.0,12.0,6.9,269.0,211.0,2.1,3 3,2,23.01 22.22 23.42,(1.08.65),鼻
20170118,03,1,誰可拼,7,蘇兆輝,133,3,110,方,1171,5.6,3.4,4.9,376.0,233.0,1.9,7 8,3,23.61 22.1 22.95,(1.08.66),短頭
20170118,03,2,發盈喜,5,莫艾誠,130,7,107,賢,1132,4.6,5.5,7.4,249.0,200.0,2.2,1 1,4,22.81 22.18 23.69,(1.08.68),頭
20170118,03,8,有心人,5,楊明綸,111,1,86,蔡,1207,16.0,23.0,26.0,69.0,75.0,6.0,8 7,5,23.85 21.82 23.09,(1.08.76),1/2
20170118,03,3,軍歌,6,巴度,125,4,102,呂,1074,14.0,21.0,27.0,68.0,86.0,5.2,6 6,6,23.45 22.06 23.82,(1.09.33),4-1/4
20170118,03,4,飛龍駒,6,韋達,122,6,99,摩,1105,4.7,4.8,5.1,364.0,245.0,1.8,2 2,7,23.01 22.22 24.68,(1.09.91),7-3/4
20170118,03,6,華美之友,5,莫雷拉,117,2,94,東,1041,3.1,3.5,3.3,561.0,391.0,1.1,4 4,8,23.25 22.14 24.91,(1.10.3),10-1/4
20170118,02,1,保證滿意,6,杜利萊,132,1,36,鄭,1123,5.8,4.9,6.8,298.0,273.0,2.0,3 4 5 4,9,13.93 22.75 24.41 24.35 25.69,(1.51.13),7
20170118,02,6,勇晉神駒,5,韋達,128,4,32,時,1047,3.8,2.7,2.7,750.0,416.0,1.3,5 5 6 7,10,14.01 22.87 24.37 24.35 25.83,(1.51.43),9
20170118,02,14,帝國之星,6,田泰安,113,12,15,賀,1010,34.0,64.0,67.0,30.0,41.0,13.0,9 8 7 9,11,14.37 22.79 24.09 24.55 26.18,(1.51.98),12-1/4
20170118,02,13,皇龍寶駒,8,楊明綸,111,9,16,鄭,1113,30.0,43.0,44.0,45.0,62.0,9.1,11 10 8 11,12,14.53 22.87 23.89 24.63 26.12,(1.52.04),12-3/4
20170118,02,12,好爽趣,7,蔡明紹,114,8,16,鄭,1042,48.0,77.0,98.0,20.0,35.0,15.0,14 14 13 13,13,14.85 23.27 23.81 24.43 25.92,(1.52.28),14-1/4
20170118,02,8,皇龍大師,8,黎海榮,126,11,30,徐,1132,38.0,65.0,57.0,35.0,49.0,11.0,10 13 14 14,14,14.45 23.27 24.25 25.23 30.03,(1.57.23),45-1/4
