Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080514,04,6,輝煌贏,8,黎海榮,112,6,22,徐,1073,20.0,18.0,16.0,93.0,60.0,3.8-5.9,8  8  6,1,28.7	25.0	25.4	22.9,(1.42.0),頭馬
20080514,04,7,巴圖魯,4,潘頓,128,10,35,徐,975,16.0,22.0,19.0,77.0,46.0,4.9-7.6,2  2  2,2,27.8	25.0	25.6	23.7,(1.42.1),1/2
20080514,04,2,威財寶,5,湯智傑,127,5,39,方,1091,6.2,7.2,5.5,272.0,215.0,1.6-2.1,4  4  4,3,28.1	25.0	25.6	23.4,(1.42.1),1/2
20080514,04,4,強中霸,10,柏寶,132,7,39,文,1055,11.0,9.6,9.4,160.0,120.0,2.3-3.3,7  7  8,4,28.4	25.1	25.6	23.1,(1.42.2),1-1/4
20080514,04,3,得眾,5,鄭雨滇,130,1,39,葉,1114,7.3,4.8,4.1,368.0,185.0,1.7-2.4,6  6  5,5,28.4	25.0	25.5	23.4,(1.42.3),1-3/4
20080514,04,8,國家富強,6,賴維銘,121,12,30,吳,1076,10.0,13.0,12.0,117.0,100.0,2.6-3.8,3  3  3,6,27.8	25.3	25.5	24.0,(1.42.6),3-1/2
20080514,04,1,真功夫,6,韋達,133,8,40,安,1070,4.0,5.1,5.6,271.0,213.0,1.6-2.1,10  10  9,7,29.2	24.8	25.3	23.4,(1.42.7),4-1/2
20080514,04,12,靚花紋,5,冼文諾,117,3,24,胡,1091,7.2,10.0,8.6,176.0,149.0,1.9-2.8,1  1  1,8,27.6	25.0	25.8	24.5,(1.42.9),5-3/4
20080514,04,11,光速,7,普萊西,120,9,27,伍,1138,22.0,38.0,51.0,29.0,23.0,8.9-14,5  5  7,9,28.2	25.2	25.8	23.8,(1.43.0),6
20080514,04,10,法寶,5,徐君禮,108,2,5,薛,1101,9.9,42.0,51.0,29.0,23.0,8.9-14,9  9  10,10,28.9	24.8	25.7	23.6,(1.43.0),6
20080514,04,9,龍嘜,5,杜利萊,122,11,29,時,884,20.0,4.5,7.5,202.0,60.0,3.9-6,12  11  11,11,29.4	24.6	25.6	23.5,(1.43.1),6-3/4
20080514,04,5,騰達,9,魯柏軒,124,4,38,鄭,1187,28.0,33.0,40.0,37.0,29.0,7.1-11,11  12  12,12,29.4	24.8	25.4	23.5,(1.43.1),7
