Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20150114,06,10,勝利寶石,4,楊明綸,118,10,63,沈,1093,29.0,49.0,34.0,66.0,92.0,6.6,2 2,1,12.65 21.88 23.02,(0.57.55),頭馬
20150114,06,11,愛寶,4,田泰安,119,3,62,徐,1122,7.4,6.5,3.5,642.0,351.0,1.7,6 5,2,12.97 21.72 22.91,(0.57.6),頸
20150114,06,3,奧妙繽紛,5,郭能,128,4,71,方,1094,10.0,10.0,13.0,170.0,181.0,3.4,1 1,3,12.61 21.84 23.27,(0.57.72),1
20150114,06,2,氣勢如虹,5,莫雷拉,128,5,71,姚,1064,7.2,6.8,6.4,358.0,295.0,2.1,5 3,4,12.85 21.76 23.13,(0.57.74),1-1/4
20150114,06,1,羅馬神駒,5,薛寶力,133,12,76,東,1181,19.0,33.0,46.0,49.0,63.0,9.7,4 6,5,12.85 21.96 22.94,(0.57.75),1-1/4
20150114,06,5,要風得鋒,5,韋達,126,2,69,高,1199,5.0,3.4,3.8,597.0,396.0,1.5,3 4,6,12.69 21.96 23.16,(0.57.81),1-3/4
20150114,06,7,聖驛善,6,巫斯義,123,7,66,吳,1061,6.6,5.2,6.7,338.0,313.0,2.0,12 11,7,13.29 21.96 22.7,(0.57.95),2-1/2
20150114,06,6,情投意合,3,紀仁安,123,8,66,告,1205,9.2,14.0,20.0,113.0,108.0,5.7,9 9,8,13.09 21.96 22.93,(0.57.98),2-3/4
20150114,06,8,按一按,8,黎海榮,119,1,64,呂,1106,8.2,14.0,14.0,161.0,164.0,3.7,8 7,9,13.09 21.8 23.11,(0.58.00),2-3/4
20150114,06,12,火乘風,5,杜滿萊,118,11,61,苗,1137,22.0,69.0,71.0,31.0,41.0,15.0,11 12,10,13.17 22.12 23.12,(0.58.41),5-1/4
20150114,06,9,大寶庫,6,李寶利,120,6,63,葉,1148,50.0,99.0,193.0,11.0,24.0,25.0,10 8,11,13.17 21.8 23.5,(0.58.47),5-3/4
20150114,06,4,幸運明星,4,柏寶,127,9,70,賢,1052,8.6,8.0,9.8,233.0,216.0,2.8,7 10,12,13.05 22.04 23.58,(0.58.67),7
