Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20081116,06,14,驍勇奔騰,7,湯智傑,110,1,61,文,1053,10.0,8.3,7.5,177.0,150.0,2.4,7   8   8   6,1,14.54	23.08	24.24	24.42	22.49,(1.48.8),頭馬
20081116,06,6,真龍船,5,徐君禮,119,7,69,東,1109,6.0,5.8,4.6,284.0,171.0,2.1,12   11   9   9,2,15.06	22.92	24.04	24.50	22.48,(1.49.0),1-1/2
20081116,06,1,神州之星,5,潘頓,133,6,80,方,1241,27.0,14.0,17.0,75.0,71.0,5.1,5   4   4   5,3,14.18	22.96	24.32	24.70	22.89,(1.49.0),1-3/4
20081116,06,7,危險英駿,5,杜利萊,121,2,68,薛,1087,6.5,5.0,4.5,290.0,224.0,1.6,11   12   12   13,3,14.94	23.08	24.24	24.54	22.25,(1.49.0),1-3/4
20081116,06,11,有聲氣,6,白德民,120,9,66,摩,1015,13.0,16.0,11.0,118.0,145.0,2.5,10   9   6   7,5,14.78	22.88	24.08	24.58	22.99,(1.49.3),3-1/2
20081116,06,2,好知己,4,韋達,131,13,78,蔡,1060,3.8,3.7,4.7,280.0,175.0,2.1,4   5   5   4,6,14.18	23.00	24.40	24.54	23.22,(1.49.3),3-3/4
20081116,06,5,靚到爆,4,鄭雨滇,121,12,70,沈,949,20.0,27.0,31.0,42.0,38.0,9.4,8   10   11   11,7,14.66	23.12	24.32	24.54	22.89,(1.49.5),4-3/4
20081116,06,12,水晶皇,8,梁家俊,107,3,64,徐,1163,19.0,26.0,20.0,64.0,59.0,6.1,2   2   2   1,8,13.90	22.88	24.44	24.74	23.69,(1.49.6),5-1/2
20081116,06,4,皇者之光,5,冼毅力,126,14,73,苗,1105,17.0,18.0,24.0,55.0,56.0,6.4,3   6   7   8,9,14.02	23.16	24.64	24.62	23.55,(1.50.0),7-3/4
20081116,06,8,濰坊,6,王志偉,118,11,68,葉,1091,15.0,15.0,15.0,86.0,86.0,4.2,14   14   13   10,10,15.42	23.08	23.76	24.34	23.63,(1.50.2),9
20081116,06,10,開心錢,7,都爾,120,10,67,華,1110,17.0,19.0,25.0,51.0,56.0,6.4,1   3   3   3,11,13.86	23.12	24.40	24.62	24.29,(1.50.3),9-1/2
20081116,06,13,廣友名駒,5,賴維銘,113,4,62,胡,1105,16.0,33.0,38.0,34.0,38.0,9.5,13   13   14   14,11,15.14	23.16	24.04	24.50	23.45,(1.50.3),9-1/2
20081116,06,3,福星拱照,7,巫斯義,130,5,77,薛,1093,22.0,30.0,43.0,30.0,38.0,9.6,6   7   10   12,13,14.46	23.04	24.56	24.70	24.11,(1.50.9),13
20081116,06,9,勇勝神駒,6,梁明偉,117,8,67,安,1218,31.0,78.0,87.0,15.0,15.0,23.0,9   1   1   2,14,14.78	21.92	24.28	24.98	25.25,(1.51.2),15-1/4
