Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,02,14,將臣三號,4,黎海榮,111,7,40,華,1189,2.9,3.5,3.9,282.0,234.0,1.4-1.9,7     7     5,1,29.4	23.8	23.3	23.0,(1.39.5),頭馬
20080525,02,2,瀟灑財星,4,韋達,126,2,53,徐,1049,4.0,4.0,3.7,305.0,278.0,1.3-1.7,2     2     2,2,28.7	23.8	23.7	23.3,(1.39.5),頸
20080525,02,1,神殿,7,白德民,131,6,58,胡,1182,6.8,5.4,6.6,170.0,154.0,1.6-2.6,5     4     3,3,29.2	23.7	23.3	23.5,(1.39.7),1-1/2
20080525,02,4,真心馬主,6,鄭雨滇,122,4,51,吳,1104,29.0,36.0,43.0,25.0,26.0,6-11,3     3     4,4,29.0	23.7	23.8	23.6,(1.40.1),3-3/4
20080525,02,11,金不換,3,楊啟棠,112,1,44,摩,1006,17.0,21.0,21.0,53.0,44.0,3.9-7.5,6     5     6,5,29.3	23.7	23.7	23.4,(1.40.1),3-3/4
20080525,02,3,悅駿財星,5,巫斯義,124,5,51,賀,1222,28.0,12.0,15.0,72.0,62.0,3-5.5,1     1     1,6,28.2	23.2	24.5	24.2,(1.40.1),3-3/4
20080525,02,13,好機緣,3,柏寶,118,9,43,文,1065,29.0,27.0,20.0,54.0,42.0,4.1-7.8,8     10     10,7,29.5	24.0	24.1	22.9,(1.40.5),6-1/4
20080525,02,9,旅英名駒,6,湯智傑,115,3,47,徐,1132,43.0,60.0,45.0,24.0,23.0,6.7-13,9     8     8,8,29.5	23.8	24.0	23.2,(1.40.5),6-1/2
20080525,02,8,葵扇煙,4,普萊西,121,14,48,葉,1187,32.0,51.0,51.0,21.0,19.0,7.9-15,14     14     14,9,30.1	23.7	24.1	22.8,(1.40.7),7-1/2
20080525,02,10,駿冠,5,薄奇能,119,12,46,時,1187,22.0,15.0,15.0,72.0,66.0,2.8-5.2,12     11     11,10,29.8	23.7	24.1	23.1,(1.40.7),7-3/4
20080525,02,7,小飛象,9,賴維銘,120,11,49,吳,1126,17.0,33.0,9.4,119.0,54.0,3.3-6.3,10     9     9,11,29.6	23.8	23.9	23.4,(1.40.7),7-3/4
20080525,02,5,騰雲駕霧,4,潘頓,123,8,50,薛,1163,11.0,8.1,9.9,112.0,97.0,2.1-3.8,13     13     12,12,29.9	23.8	23.9	23.3,(1.40.9),9-1/4
20080525,02,6,百笑,5,魯柏軒,115,10,49,告,1011,20.0,43.0,61.0,18.0,16.0,9.3-18,4     6     7,13,29.1	23.9	24.3	23.9,(1.41.2),10-1/2
20080525,02,12,智勇非凡,5,冼文諾,117,13,44,胡,982,33.0,35.0,41.0,27.0,26.0,6.2-12,11     12     13,14,29.8	23.9	24.0	23.7,(1.41.4),12
