Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20130501,11,12,博愛福星,6,杜利萊,119,12,69,鄭,1010,11.0,8.4,6.8,428.0,272.0,2.3,9 9 9,1,26.01 23.94 23.14 22.52,(1.35.61),頭馬
20130501,11,10,各適其適,4,潘頓,123,5,74,葉,1138,5.2,1.8,2.2,1283.0,457.0,1.4,4 4 3,2,25.65 23.9 23.22 22.84,(1.35.61),鼻
20130501,11,1,喜喜精神,4,安國倫,133,1,84,薛,1006,10.0,6.1,5.4,534.0,338.0,1.8,3 3 5,3,25.57 23.86 23.5 22.7,(1.35.63),短頭
20130501,11,9,好好機會,4,楊明綸,123,6,76,東,1111,40.0,68.0,34.0,83.0,87.0,7.2,1 1 1,4,25.25 23.78 23.7 23.01,(1.35.74),3/4
20130501,11,5,首飾孖寶,4,韋達,129,9,80,蔡,1026,8.8,9.8,10.0,286.0,233.0,2.7,2 2 2,5,25.41 23.86 23.5 23,(1.35.77),1
20130501,11,14,威風猛將,3,梁家俊,113,13,70,高,1066,81.0,99.0,99.0,18.0,22.0,27.0,13 13 14,6,26.29 24.06 23.22 22.38,(1.35.95),2-1/4
20130501,11,2,魅力星,6,蘇狄雄,129,4,83,何,1016,57.0,88.0,99.0,25.0,40.0,15.0,6 8 7,7,25.77 24.06 23.26 22.98,(1.36.07),3
20130501,11,4,正斗,4,霍勵賢,130,14,81,方,1081,4.2,24.0,30.0,95.0,95.0,6.6,11 10 10,8,26.09 23.98 23.18 22.94,(1.36.19),3-3/4
20130501,11,6,超群名駒,5,柏寶,129,2,80,徐,1065,58.0,69.0,82.0,35.0,56.0,11.0,7 5 6,9,25.81 23.86 23.34 23.2,(1.36.21),3-3/4
20130501,11,8,加州動力,5,蔡明紹,124,11,77,東,1060,18.0,22.0,18.0,159.0,156.0,4.0,14 14 13,10,26.49 24.02 22.94 22.89,(1.36.34),4-1/2
20130501,11,7,百事神駒,4,吳嘉晉,120,10,78,胡,948,26.0,21.0,20.0,138.0,129.0,4.8,10 11 12,11,26.05 24.02 23.26 23.18,(1.36.51),5-3/4
20130501,11,13,好好境,4,賴維銘,115,3,66,苗,1265,40.0,92.0,46.0,62.0,95.0,6.6,12 12 11,12,26.21 24.06 22.98 23.27,(1.36.52),5-3/4
20130501,11,11,豐衣足食,6,薛寶力,121,8,72,姚,1068,18.0,47.0,24.0,117.0,105.0,6.0,5 6 8,13,25.77 23.94 23.38 23.72,(1.36.81),7-1/2
20130501,11,3,鴻福滿滿,4,巫斯義,132,7,83,文,1118,4.1,15.0,11.0,252.0,203.0,3.1,8 7 4,14,25.89 23.86 23.1 24.21,(1.37.06),9
