Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20150110,06,9,拼搏小子,6,李寶利,128,9,55,呂,985,13.0,14.0,7.5,308.0,227.0,2.6,11 11 10,1,25.77 23.93 24.43 22.45,(1.36.58),頭馬
20150110,06,10,匯聚力量,6,楊明綸,126,13,55,李,991,17.0,41.0,25.0,90.0,125.0,4.7,14 14 12,2,26.29 23.65 24.27 22.43,(1.36.64),頸
20150110,06,4,甜城效應,6,杜利萊,132,6,59,高,1087,6.0,7.4,5.0,458.0,333.0,1.8,10 12 13,3,25.61 24.17 24.47 22.55,(1.36.8),1-1/2
20150110,06,8,贏男,6,韋達,130,10,57,容,1179,4.0,2.4,3.1,753.0,361.0,1.6,9 8 8,4,25.49 24.01 24.51 22.81,(1.36.82),1-1/2
20150110,06,5,富貴榮華,6,柏寶,132,8,59,文,1008,5.2,8.4,11.0,195.0,170.0,3.5,6 4 3,5,25.25 24.01 24.51 23.3,(1.37.07),3
20150110,06,11,爪黃飛電,5,蔡明紹,127,11,54,孫,1103,21.0,42.0,54.0,42.0,58.0,10.0,13 13 6,6,26.05 23.85 24.03 23.31,(1.37.24),4
20150110,06,14,跑贏大市,6,賴維銘,121,7,48,賢,1172,48.0,99.0,191.0,12.0,21.0,27.0,3 2 2,7,24.97 24.05 24.71 23.51,(1.37.24),4
20150110,06,13,紅白,4,紀仁安,123,1,50,沈,1136,41.0,43.0,35.0,64.0,69.0,8.6,5 6 9,8,25.21 24.17 24.63 23.24,(1.37.25),4-1/4
20150110,06,1,信是有緣,5,郭能,133,5,60,姚,1196,13.0,11.0,10.0,224.0,209.0,2.8,4 5 5,9,25.17 24.09 24.63 23.38,(1.37.27),4-1/4
20150110,06,12,菁英神采,3,羅理雅,124,2,51,摩,1057,7.0,5.1,6.8,341.0,275.0,2.1,7 9 11,10,25.41 24.13 24.63 23.24,(1.37.41),5-1/4
20150110,06,6,財歡笑,4,巫斯義,130,4,57,鄭,1249,34.0,60.0,78.0,29.0,34.0,17.0,1 1 1,11,24.81 24.09 24.75 23.86,(1.37.51),5-3/4
20150110,06,7,勁福星,4,莫雷拉,130,12,57,蔡,1088,14.0,16.0,11.0,196.0,177.0,3.3,8 7 7,12,25.41 23.97 24.63 24.64,(1.38.65),13
20150110,06,3,大地和平,4,黎海榮,131,3,60,時,1091,18.0,24.0,27.0,84.0,92.0,6.4,2 3 4,13,24.89 24.25 24.71 25.32,(1.39.17),16-1/4
20150110,06,2,宅心仁厚,4,蘇狄雄,131,14,60,何,1094,93.0,99.0,333.0,6.0,11.0,49.0,12 10 14,14,25.89 23.73 24.95 27.35,(1.41.92),33-1/2
