Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20130106,10,1,連利多,4,杜利萊,133,6,80,高,1162,15.0,6.4,7.1,393.0,278.0,2.6,8 7 3,1,14.47 23.45 23.3 22.33,(1.23.55),頭馬
20130106,10,12,塑料盈,5,黎海榮,114,2,63,姚,1174,31.0,38.0,46.0,60.0,65.0,11.0,4 3 4,2,14.15 23.45 23.66 22.36,(1.23.62),1/2
20130106,10,7,紅衣神仙,4,安國倫,123,8,70,蔡,1081,6.6,5.8,5.4,515.0,402.0,1.8,11 11 8,3,14.67 23.53 23.38 22.1,(1.23.68),3/4
20130106,10,3,賀喜,7,郭立基,130,1,77,薛,1106,14.0,10.0,12.0,231.0,262.0,2.8,6 6 6,4,14.35 23.53 23.62 22.29,(1.23.79),1-1/2
20130106,10,14,寶樹高盈,5,蘇狄雄,112,9,62,文,1073,27.0,27.0,25.0,108.0,138.0,5.3,3 2 5,5,14.11 23.41 23.74 22.67,(1.23.93),2-1/4
20130106,10,5,信心十足,4,柏寶,125,5,72,方,1099,3.6,2.8,2.9,967.0,529.0,1.4,1 1 1,6,14.03 23.33 23.62 22.95,(1.23.93),2-1/4
20130106,10,2,喜蓮芳芬,5,蔡明紹,130,7,79,東,1208,4.8,6.3,5.5,500.0,404.0,1.8,5 4 2,7,14.27 23.41 23.38 22.94,(1.24.00),2-3/4
20130106,10,8,幸運聖,4,楊明綸,121,13,70,沈,1150,25.0,36.0,39.0,70.0,71.0,10.0,13 13 12,8,14.79 23.61 23.38 22.34,(1.24.12),3-1/2
20130106,10,6,興趣,3,郭能,123,11,75,時,1163,79.0,97.0,99.0,20.0,23.0,31.0,9 9 11,9,14.59 23.53 23.58 22.48,(1.24.18),4
20130106,10,13,可愛人生,6,鄭雨滇,115,10,62,葉,1157,43.0,99.0,99.0,14.0,17.0,41.0,10 10 10,10,14.63 23.53 23.54 22.68,(1.24.38),5-1/4
20130106,10,9,驪龍,4,馬偉昌,120,14,67,摩,1109,4.3,12.0,10.0,273.0,254.0,2.9,14 14 14,11,14.99 23.61 23.46 22.34,(1.24.4),5-1/4
20130106,10,4,好勝煌,5,薛寶力,126,4,73,鄭,1058,27.0,13.0,15.0,184.0,199.0,3.7,2 5 7,12,14.11 23.61 23.78 22.93,(1.24.43),5-1/2
20130106,10,11,勇創潮流,5,巫斯義,120,3,65,何,1077,99.0,99.0,99.0,10.0,15.0,47.0,7 8 9,13,14.35 23.61 23.7 22.99,(1.24.65),6-3/4
20130106,10,10,皇龍大師,4,祁義理,120,12,66,徐,1140,49.0,87.0,99.0,24.0,32.0,23.0,12 12 13,14,14.79 23.57 23.66 22.76,(1.24.78),7-3/4
