Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,03,1,零距離,4,柏寶,132,13,58,賀,1113,2.6,2.7,3.0,386.0,301.0,1.2-1.7,12   13   11,1,14.5	23.1	23.4	22.4,(1.23.4),頭馬
20080525,03,5,同心同德,4,普萊西,130,14,56,蘇,1124,29.0,66.0,73.0,15.0,15.0,9.2-21,3   4   3,2,13.9	22.9	23.6	23.2,(1.23.6),1-3/4
20080525,03,3,鋼意,4,潘頓,131,4,57,薛,1099,25.0,26.0,33.0,34.0,35.0,4.2-9.2,9   10   7,3,14.3	22.9	23.4	23.0,(1.23.6),1-3/4
20080525,03,6,確叻星,4,韋達,129,6,55,時,1015,12.0,8.7,9.2,125.0,106.0,1.8-3.5,11   7   5,4,14.4	22.6	23.5	23.5,(1.24.0),3-3/4
20080525,03,13,實在好,4,黎海榮,114,12,42,李,999,52.0,93.0,99.0,10.0,11.0,11-26,2   3   2,5,13.7	22.7	23.6	24.0,(1.24.0),3-3/4
20080525,03,10,滿高,5,鄭雨滇,120,3,48,文,1084,11.0,11.0,13.0,88.0,86.0,2.1-4.2,13   12   12,6,14.6	22.9	23.5	23.0,(1.24.0),4
20080525,03,4,拔尖兒,5,高雅志,130,10,56,蔡,1164,15.0,42.0,58.0,19.0,16.0,8.2-18,10   11   10,7,14.3	22.9	23.6	23.2,(1.24.0),4-1/4
20080525,03,12,悅目,7,湯智傑,112,7,43,徐,1158,12.0,11.0,9.1,127.0,148.0,1.5-2.7,1   1   1,8,13.7	22.5	23.6	24.3,(1.24.1),4-1/4
20080525,03,9,輕巧,4,冼文諾,124,9,50,呂,1111,9.0,14.0,11.0,100.0,77.0,2.3-4.6,14   14   13,9,14.6	23.0	23.5	23.1,(1.24.2),5-1/4
20080525,03,7,勁惑,3,白德民,129,2,55,沈,1084,4.8,3.2,2.8,417.0,254.0,1.3-1.8,5   5   6,10,14.1	22.8	23.7	23.7,(1.24.3),5-1/2
20080525,03,14,龍騰駿馬,7,賴維銘,112,1,40,吳,1142,52.0,99.0,99.0,8.0,10.0,12-29,4   8   8,11,14.1	23.0	23.7	23.5,(1.24.3),6
20080525,03,2,好馬加鞭,5,楊啟棠,126,11,57,摩,1080,20.0,25.0,28.0,40.0,37.0,4.1-8.9,8   9   14,12,14.1	23.1	24.1	24.1,(1.25.4),13
20080525,03,8,好心情,3,巫斯義,124,5,50,方,1170,39.0,41.0,52.0,21.0,25.0,5.7-12,6   6   9,13,14.1	22.9	23.8	24.9,(1.25.7),14-1/2
20080525,03,11,進明神駒,3,王志偉,118,8,47,華,1037,48.0,75.0,99.0,11.0,11.0,11-26,7   2   4,14,14.1	22.3	24.1	26.2,(1.26.7),20-1/2
