Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20110615,02,7,金威神童,5,杜利萊,128,7,35,鄭,1221,15.0,18.0,14.0,92.0,77.0,5.1,2 2 2,1,28.3 24.11 24.59 23.8,(1.40.8),頭馬
20110615,02,10,迅者,4,蔡明紹,119,6,28,薛,1147,20.0,10.0,5.8,223.0,184.0,2.1,1 1 1,2,28.14 24.11 24.59 24.15,(1.40.99),1-1/4
20110615,02,9,厲行星,4,白德民,123,9,30,沈,1128,4.7,13.0,13.0,98.0,94.0,4.2,7 8 8,3,28.86 24.11 24.67 23.67,(1.41.31),3-1/4
20110615,02,4,贏啲啲,6,柏寶,130,3,37,華,1103,5.2,3.7,3.5,369.0,267.0,1.5,4 4 3,4,28.5 24.07 24.51 24.42,(1.41.5),4-1/2
20110615,02,1,無敵福星,6,何澤堯,128,4,40,蘇,1011,5.0,6.6,6.9,187.0,171.0,2.3,5 5 5,5,28.5 24.19 24.71 24.17,(1.41.57),4-3/4
20110615,02,3,鐳射槍,5,梁家俊,128,8,38,告,1087,18.0,12.0,17.0,75.0,73.0,5.4,9 10 9,6,29.1 24.07 24.63 23.79,(1.41.59),5
20110615,02,2,燈胆寶,7,賴維銘,130,11,39,吳,1099,12.0,10.0,12.0,105.0,132.0,3.0,3 3 4,7,28.42 24.11 24.67 24.41,(1.41.61),5
20110615,02,6,創出傳奇,5,安國倫,129,10,36,葉,1115,20.0,14.0,18.0,69.0,72.0,5.5,8 6 6,8,28.98 23.87 24.67 24.36,(1.41.88),6-3/4
20110615,02,8,超力駒,5,梁明偉,122,5,32,何,1082,11.0,11.0,13.0,94.0,85.0,4.6,12 12 11,9,29.42 23.95 24.63 23.95,(1.41.95),7-1/4
20110615,02,11,煇煌駒,7,卓利,113,2,17,胡,1087,26.0,35.0,30.0,42.0,52.0,7.6,6 7 7,10,28.82 24.03 24.71 24.44,(1.42.00),7-1/2
20110615,02,12,封面,5,勞愛德,114,1,15,李,1060,7.4,7.0,9.0,144.0,141.0,2.8,10 9 10,11,29.14 23.99 24.71 24.26,(1.42.1),8-1/4
20110615,02,5,成功年代,5,潘頓,130,12,37,呂,1029,21.0,15.0,16.0,79.0,91.0,4.3,11 11 12,12,29.34 23.87 24.83 24.25,(1.42.29),9-1/4
