Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20081116,02,4,金鑽龍華,4,都爾,129,5,56,華,1168,2.6,2.2,2.4,426.0,218.0,1.2,4   4,1,24.2	23.23	22.72,(1.10.2),頭馬
20081116,02,12,驃騎將軍,4,普萊西,119,1,46,呂,1153,38.0,35.0,32.0,32.0,33.0,7.7,5   5,2,24.28	23.35	22.57,(1.10.2),頭
20081116,02,8,易發發,3,鄭雨滇,123,14,52,沈,1071,23.0,19.0,24.0,43.0,40.0,6.4,1   1,3,23.64	23.59	23.1,(1.10.3),1
20081116,02,7,精玲大師,4,高雅志,125,2,52,東,1195,3.9,5.2,4.2,249.0,169.0,1.5,6   7,4,24.36	23.35	22.71,(1.10.4),1-3/4
20081116,02,10,大漢烈馬,4,巫斯義,123,6,50,李,1109,12.0,11.0,15.0,67.0,49.0,5.2,7   6,5,24.44	23.19	22.85,(1.10.5),2
20081116,02,6,驍騎無敵,4,冼毅力,126,10,53,苗,1066,8.8,7.5,6.6,157.0,130.0,1.9,14   14,6,25.36	23.07	22.26,(1.10.7),3-1/4
20081116,02,5,風雲再起,4,韋達,128,9,55,吳,1195,14.0,15.0,14.0,74.0,60.0,4.2,10   10,7,24.76	23.23	22.74,(1.10.7),3-1/2
20081116,02,9,嘉寶神駒,4,黎海榮,123,11,52,安,1052,37.0,50.0,69.0,15.0,16.0,15.0,11   11,8,24.92	23.31	22.6,(1.10.8),4-1/4
20081116,02,1,確奇妙,5,杜利萊,133,12,60,時,1188,16.0,17.0,20.0,50.0,52.0,4.9,2   2,9,23.88	23.43	23.63,(1.10.9),5
20081116,02,3,得志駒,4,王志偉,126,7,56,告,1225,17.0,12.0,10.0,98.0,105.0,2.4,3   3,10,24.12	23.31	23.6,(1.11.0),5-1/2
20081116,02,13,眼鏡之寶,6,徐君禮,114,4,44,伍,1067,27.0,66.0,79.0,13.0,15.0,16.0,8   8,11,24.6	23.31	23.31,(1.11.2),6-3/4
20081116,02,14,賞心,5,楊明綸,105,13,42,鄭,1087,35.0,75.0,58.0,17.0,16.0,15.0,12   12,12,25.04	23.31	22.98,(1.11.3),7-1/4
20081116,02,2,宇宙天王,3,潘頓,130,3,57,薛,1165,37.0,53.0,73.0,14.0,17.0,15.0,9   9,13,24.64	23.31	23.72,(1.11.7),9-1/2
20081116,02,11,祥勝超人,4,湯智傑,117,8,49,文,1152,66.0,99.0,99.0,8.0,10.0,24.0,13  13,14,25.12	23.27	24.06,(1.12.4),14-1/4
