Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20120325,03,6,無懼風雨,3,韋達,126,2,52,蔡,1174,3.0,2.6,1.9,880.0,376.0,1.0,2 1,1,23.96 23.18 22.93,(1.10.07),頭馬
20120325,03,10,樂馳,4,蘇狄雄,121,4,52,何,1153,4.8,4.0,5.1,337.0,219.0,1.7,9 7,2,24.68 22.9 22.85,(1.10.43),2-1/4
20120325,03,12,天光明,3,潘頓,122,12,48,徐,1138,13.0,17.0,10.0,163.0,112.0,3.3,3 2,3,24 23.26 23.3,(1.10.56),3
20120325,03,2,精明出擊,4,李寶利,130,11,56,高,1119,18.0,22.0,30.0,56.0,60.0,6.2,11 8,4,24.92 22.7 23.25,(1.10.87),5
20120325,03,8,盈豐快駒,3,杜利萊,126,3,52,姚,1040,7.8,7.7,7.9,216.0,160.0,2.3,4 4,5,24.2 23.18 23.58,(1.10.96),5-1/2
20120325,03,7,中國天使,4,柏寶,126,9,52,文,1071,14.0,21.0,35.0,48.0,51.0,7.2,10 12,6,24.88 23.02 23.06,(1.10.96),5-1/2
20120325,03,4,錦衣衛,3,吳嘉晉,119,7,55,葉,1130,12.0,9.5,9.7,177.0,148.0,2.5,1 3,7,23.92 23.34 24.01,(1.11.27),7-1/2
20120325,03,3,多多昇,8,蔡明紹,128,5,56,苗,1152,16.0,27.0,43.0,39.0,48.0,7.6,6 6,8,24.4 23.1 23.83,(1.11.33),7-3/4
20120325,03,9,百勝福將,5,普萊西,126,6,52,呂,1069,52.0,99.0,99.0,9.0,16.0,22.0,7 10,9,24.52 23.22 23.69,(1.11.43),8-1/2
20120325,03,1,松林之星,6,賴維銘,131,14,59,鄭,1073,22.0,36.0,58.0,29.0,39.0,9.4,14 11,10,25.32 22.58 23.54,(1.11.44),8-1/2
20120325,03,11,金鑛龍華,5,安國倫,125,13,51,方,1139,28.0,78.0,99.0,13.0,18.0,20.0,8 9,11,24.68 23.02 23.78,(1.11.48),8-3/4
20120325,03,13,齊心,4,梁家俊,118,1,46,賀,1215,51.0,99.0,99.0,8.0,12.0,29.0,5 5,12,24.28 23.18 24.1,(1.11.56),9-1/4
20120325,03,14,鬥心,4,湯智傑,114,8,42,沈,1003,81.0,99.0,99.0,3.0,6.0,57.0,12 13,13,24.96 23.02 23.75,(1.11.73),10-1/4
20120325,03,5,同步世界,3,勞愛德,126,10,52,摩,1139,13.0,10.0,16.0,103.0,88.0,4.2,13 14,14,25.24 22.86 23.65,(1.11.75),10-1/2
