Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20161222,04,8,星際武士,6,莫艾誠,124,8,51,賢,1143,8.6,10.0,9.9,241.0,247.0,2.3,1 1,1,24.48 23.6 22.8,(1.10.88),頭馬
20161222,04,2,巴基小子,6,蘇兆輝,132,10,59,東,1021,5.2,6.6,8.8,273.0,195.0,2.9,6 6,2,24.96 23.64 22.43,(1.11.03),1
20161222,04,1,雄霸,4,莫雷拉,133,4,60,苗,1216,3.6,2.5,2.1,1149.0,491.0,1.1,7 8,3,25.04 23.68 22.31,(1.11.03),1
20161222,04,4,妙感,4,梁家俊,128,2,57,高,1120,5.8,6.0,7.2,334.0,295.0,1.9,2 2,4,24.64 23.6 22.8,(1.11.04),1-1/4
20161222,04,6,你知我意,4,祈普敦,125,11,52,告,1052,15.0,25.0,28.0,84.0,86.0,6.5,4 4,5,24.8 23.56 22.91,(1.11.27),2-1/2
20161222,04,10,紅星,4,潘頓,123,6,50,葉,1051,24.0,29.0,17.0,140.0,108.0,5.2,10 11,6,25.28 23.68 22.33,(1.11.29),2-1/2
20161222,04,11,嶺喜峯,4,何澤堯,116,12,45,徐,1096,26.0,36.0,17.0,135.0,142.0,3.9,9 9,7,25.16 23.68 22.6,(1.11.44),3-1/2
20161222,04,7,有智慧,4,巴度,124,3,51,文,1078,34.0,74.0,100.0,23.0,34.0,16.0,5 5,8,24.88 23.64 23.08,(1.11.6),4-1/2
20161222,04,5,中華壹號,6,柏寶,126,9,53,容,1152,8.2,7.4,10.0,234.0,191.0,2.9,11 12,9,25.32 23.76 22.54,(1.11.62),4-3/4
20161222,04,9,金巴裡好,7,吳嘉晉,118,1,50,吳,1027,23.0,79.0,95.0,25.0,32.0,17.0,3 3,10,24.72 23.64 23.3,(1.11.66),5
20161222,04,3,連利進寶,5,郭能,131,5,58,蘇,1270,12.0,7.7,10.0,235.0,193.0,2.9,8 7,11,25.04 23.6 23.19,(1.11.83),6
20161222,04,12,聖海,5,蔡明紹,113,7,40,鄭,1044,26.0,68.0,81.0,29.0,39.0,14.0,12 10,12,25.32 23.56 23.25,(1.12.13),7-3/4
