Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,07,3,確叻寶,7,薄奇能,127,5,99,時,1136,35.0,57.0,68.0,23.0,21.0,8.9-18,6  7  4,1,28.1	23.0	24.4	22.5,(1.38.0),頭馬
20080525,07,5,勁好聲,7,白德民,125,4,97,摩,1026,28.0,47.0,41.0,38.0,26.0,7.3-14,12  11  8,2,28.5	22.9	24.4	22.2,(1.38.0),短頭
20080525,07,1,真叻仔,6,湯智傑,128,14,105,方,1066,26.0,26.0,34.0,46.0,41.0,4.9-9.7,11  10  7,3,28.5	22.9	24.4	22.6,(1.38.4),2-1/4
20080525,07,9,樂意,6,賴維銘,117,9,91,賀,1121,16.0,28.0,31.0,51.0,42.0,4.8-9.6,13  13  11,4,28.7	22.8	24.4	22.5,(1.38.4),2-1/2
20080525,07,12,搏得威,8,冼文諾,119,1,91,摩,1177,10.0,10.0,7.2,223.0,184.0,1.6-2.7,2  2  2,5,27.7	22.9	24.6	23.3,(1.38.5),3-1/4
20080525,07,4,奇異福星,5,韋達,126,8,98,胡,1052,4.0,2.3,2.6,610.0,408.0,1.3-1.6,8  8  10,6,28.3	22.9	24.6	22.8,(1.38.6),3-3/4
20080525,07,14,飛快贏,6,普萊西,113,12,85,姚,1061,18.0,44.0,32.0,50.0,36.0,5.5-11,10  12  14,7,28.4	23.0	24.7	22.6,(1.38.7),4-1/4
20080525,07,2,卓爾不凡,7,巫斯義,131,6,103,李,1029,11.0,8.2,10.0,156.0,141.0,1.9-3.3,4  6  6,8,28.0	23.1	24.6	23.1,(1.38.8),4-1/2
20080525,07,10,金寶兒,7,徐君禮,114,7,91,東,1078,13.0,25.0,24.0,66.0,51.0,4.1-8,3  3  5,9,27.9	23.0	24.6	23.4,(1.38.9),5-1/4
20080525,07,6,非我莫屬,6,潘頓,124,13,96,時,1054,37.0,68.0,35.0,45.0,30.0,6.5-13,14  14  13,10,28.8	22.8	24.4	23.0,(1.39.0),6
20080525,07,7,不老英雄,5,楊啟棠,117,3,94,李,1022,16.0,15.0,18.0,87.0,83.0,2.8-5.2,5  4  3,11,28.1	22.8	24.6	23.6,(1.39.1),6-1/2
20080525,07,11,魄力王,4,高雅志,119,2,91,吳,1097,12.0,16.0,15.0,100.0,65.0,3.4-6.5,1  1  1,12,27.7	22.9	24.6	23.9,(1.39.1),6-3/4
20080525,07,13,森威力,7,柏寶,117,10,89,呂,1211,4.6,5.1,4.4,364.0,242.0,1.5-2.2,7  5  9,13,28.2	22.9	24.7	23.6,(1.39.4),8-1/2
20080525,07,8,開心之星,6,鄭雨滇,119,11,93,葉,1158,9.5,19.0,18.0,85.0,59.0,3.6-7,9  9  12,14,28.4	22.8	24.8	24.0,(1.40.0),12
