Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20120125,10,4,精彩日子,4,韋達,130,3,107,蔡,1072,1.5,1.5,1.6,1587.0,448.0,1.1,6 7 6,1,13.96 22.71 23.36 22.86,(1.22.89),頭馬
20120125,10,10,牛精大師,4,紀仁安,120,7,97,東,1209,48.0,59.0,29.0,85.0,107.0,4.9,2 1 1,2,13.56 22.23 23.64 23.47,(1.22.9),短頭
20120125,10,8,齊歡笑,5,柏寶,121,14,98,鄭,1087,15.0,9.3,6.8,373.0,272.0,1.9,9 12 11,3,14.16 22.91 23.32 22.91,(1.23.3),2-1/2
20120125,10,12,伽羅,5,梁家俊,112,6,89,摩,1100,10.0,10.0,10.0,232.0,194.0,2.7,11 10 10,4,14.2 22.63 23.48 23.13,(1.23.44),3-1/2
20120125,10,3,雅雪,6,勞愛德,130,8,107,蘇,1199,11.0,17.0,13.0,192.0,179.0,2.9,1 2 3,5,13.52 22.51 23.6 23.84,(1.23.47),3-3/4
20120125,10,9,好友福,6,賴維銘,118,5,97,鄭,1250,31.0,43.0,47.0,53.0,75.0,6.9,8 9 9,6,14.04 22.79 23.44 23.4,(1.23.67),5
20120125,10,1,人人興旺,5,吳嘉晉,123,10,110,葉,1119,8.8,8.2,10.0,244.0,249.0,2.1,12 11 12,7,14.24 22.79 23.4 23.25,(1.23.68),5
20120125,10,11,喜蓮芳芬,4,郭立基,116,4,91,高,1189,64.0,47.0,68.0,37.0,47.0,11.0,10 8 8,8,14.2 22.55 23.48 23.47,(1.23.7),5
20120125,10,7,好得意,5,楊明綸,119,9,99,徐,1126,53.0,99.0,99.0,20.0,36.0,14.0,3 3 2,9,13.72 22.51 23.4 24.21,(1.23.84),6
20120125,10,14,快利多,6,蔡明紹,111,2,85,東,1023,22.0,11.0,14.0,174.0,187.0,2.8,7 6 7,10,14.04 22.51 23.48 23.88,(1.23.91),6-1/2
20120125,10,5,歡呼星,6,何澤堯,123,1,105,賀,1148,49.0,66.0,78.0,32.0,50.0,10.0,5 4 4,11,13.84 22.51 23.44 24.13,(1.23.92),6-1/2
20120125,10,13,智友,5,王志偉,111,12,88,方,1147,99.0,99.0,99.0,6.0,10.0,48.0,14 13 13,12,14.68 22.59 23.48 23.47,(1.24.22),8-1/4
20120125,10,6,寶珊瑚,4,卓利,114,11,87,高,1059,50.0,82.0,99.0,23.0,35.0,15.0,13 14 14,13,14.28 23.03 23.52 23.5,(1.24.33),9
20120125,10,2,愛跑得,6,郭能,131,13,108,告,1103,99.0,99.0,99.0,7.0,12.0,41.0,4 5 5,14,13.8 22.59 23.44 24.58,(1.24.41),9-1/2
