Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080701,07,3,好計劃,3,柏寶,130,5,77,葉,1134,12.0,11.0,10.0,156.0,105.0,2.6-4.6,10 13 11,1,14.5 22.7 23.6 22,(1.22.8),頭馬
20080701,07,6,極速之星,5,潘頓,127,11,74,徐,1103,12.0,9.5,9.1,186.0,142.0,2.1-3.6,2 1 1,2,13.9 22.3 23.9 22.9,(1.23.0),1-3/4
20080701,07,5,牛精富星,4,徐君禮,122,10,74,東,1139,20.0,24.0,22.0,74.0,46.0,5-9.6,5 4 3,3,14 22.5 23.8 22.8,(1.23.1),2-1/2
20080701,07,4,大家平安,4,湯智傑,124,13,76,姚,1067,25.0,31.0,27.0,61.0,41.0,5.5-10,6 2 2,4,14.1 22.2 23.9 23,(1.23.2),2-3/4
20080701,07,14,駿馬繽紛,5,賴維銘,112,2,61,蔡,1099,13.0,11.0,13.0,128.0,99.0,2.7-4.8,3 6 5,5,14 22.7 23.7 22.9,(1.23.3),3
20080701,07,10,健康特快,6,楊啟棠,116,7,68,苗,1137,43.0,39.0,31.0,54.0,44.0,5.1-9.9,1 3 4,6,13.9 22.6 23.9 23,(1.23.4),4
20080701,07,9,精算拍檔,4,韋達,121,3,68,安,984,3.8,3.3,3.4,503.0,414.0,1.3-1.6,8 8 9,7,14.2 22.7 23.8 22.7,(1.23.4),4-1/4
20080701,07,8,安進,6,高雅志,123,1,70,鄭,1112,11.0,10.0,12.0,133.0,81.0,3.1-5.8,7 9 10,8,14.2 22.7 23.8 22.7,(1.23.4),4-1/4
20080701,07,1,魄力之城,6,薄奇能,131,9,78,李,1198,39.0,38.0,35.0,48.0,40.0,5.6-10,9 7 6,9,14.4 22.4 23.6 23.3,(1.23.7),6
20080701,07,13,首瞻一線,9,梁明偉,113,6,63,何,1137,38.0,99.0,99.0,9.0,14.0,14-29,12 14 13,10,14.5 22.9 23.5 22.9,(1.23.8),6-1/4
20080701,07,7,眾威旺,4,杜利萊,126,12,73,呂,1058,7.8,8.2,6.4,266.0,168.0,1.8-3.1,14 11 12,11,14.7 22.3 23.8 23,(1.23.8),6-1/4
20080701,07,2,大發雄威,6,白德民,131,4,78,摩,1203,3.6,4.4,4.9,349.0,264.0,1.5-2.2,4 5 7,12,14 22.6 23.9 23.3,(1.23.8),6-3/4
20080701,07,11,勇善勝,5,普萊西,120,14,67,蘇,1111,28.0,22.0,22.0,77.0,69.0,3.6-6.6,13 10 8,13,14.5 22.5 23.6 23.4,(1.24.0),8
20080701,07,12,高高的,6,黎海榮,115,8,64,華,1012,40.0,73.0,78.0,21.0,24.0,8.8-17,11 12 14,14,14.5 22.6 23.8 23.3,(1.24.2),9-1/4
20081001,05,5,連冠精英,7,高雅志,131,13,38,呂,1231,12.0,15.0,15.0,95.0,109.0,3.4-3.4,4  2  2,14,13.92 21.47 23.89 26.1,(1.25.4),15-3/4
