Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080518,07,12,人緣好馬,4,薛順強,126,12,60,鄭,1051,7.5,9.6,8.4,148.0,109.0,2.9-3.8,13  13  12,1,14.0	22.2	23.4	23.0,(1.22.6),頭馬
20080518,07,11,百利寶,5,高雅志,128,13,60,蔡,1192,12.0,13.0,12.0,100.0,92.0,3.3-4.4,10  12  11,2,13.8	22.2	23.5	23.1,(1.22.6),頭
20080518,07,2,喜蓮精英,3,徐君禮,109,9,46,東,1102,9.2,7.9,8.7,144.0,122.0,2.7-3.5,11  7  5,3,13.8	21.9	23.6	23.5,(1.22.8),1-1/2
20080518,07,5,京樂飛翔,3,巫斯義,131,14,63,時,1138,6.5,17.0,16.0,74.0,65.0,4.4-5.9,14  14  13,4,14.3	22.1	23.4	23.0,(1.22.8),1-1/2
20080518,07,8,綠色駿達,5,湯智傑,124,2,61,方,1058,25.0,23.0,20.0,61.0,51.0,5.4-7.4,7  4  3,5,13.6	21.9	23.6	23.8,(1.22.9),2
20080518,07,10,一鳴驚人,4,鄭雨滇,126,7,60,賀,1081,7.5,7.8,6.5,192.0,152.0,2.3-2.9,9  6  4,6,13.8	21.7	23.7	23.7,(1.22.9),2
20080518,07,3,同心協力,4,韋達,132,10,64,蘇,1192,9.2,5.2,5.4,229.0,183.0,2-2.5,4  9  9,7,13.5	22.3	23.7	23.6,(1.23.1),3-1/4
20080518,07,1,虎虎生威,7,魯柏軒,126,1,65,薛,1263,20.0,30.0,25.0,49.0,55.0,5.1-6.9,1  1  1,8,13.4	21.8	23.6	24.3,(1.23.1),3-1/2
20080518,07,4,得運寶,8,梁明偉,128,5,63,告,1145,13.0,19.0,27.0,46.0,43.0,6.3-8.6,12  11  6,9,14.0	22.0	23.4	23.8,(1.23.2),4
20080518,07,6,標青,4,黎海榮,127,3,62,徐,1131,10.0,9.2,9.0,139.0,174.0,2.1-2.6,2  3  2,10,13.4	21.8	23.8	25.5,(1.24.5),12-1/4
20080518,07,14,按得開心,3,普萊西,118,11,50,沈,1071,33.0,50.0,74.0,16.0,14.0,17-24,6  10  14,11,13.5	22.4	23.9	24.7,(1.24.5),12-1/4
20080518,07,9,得寶飛駒,3,薄奇能,129,8,61,華,1055,12.0,8.8,10.0,115.0,84.0,3.5-4.7,8  8  10,12,13.7	22.0	23.8	25.1,(1.24.6),12-3/4
20080518,07,7,雄鷹,4,冼文諾,130,4,62,吳,1098,10.0,7.9,8.6,145.0,135.0,2.5-3.2,3  5  8,13,13.5	22.0	24.0	25.4,(1.24.9),14-1/4
20080518,07,13,金玉駿駒,5,王志偉,124,6,59,葉,1176,33.0,29.0,22.0,55.0,43.0,6.3-8.5,5  2  7,14,13.5	21.7	24.2	27.7,(1.27.1),28-1/2
