Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20150415,04,1,馬飛龍,5,柏寶,133,6,60,賢,1037,11.0,9.7,6.1,311.0,248.0,2.3,7 7 6,1,28.37 25.36 24.97 22.55,(1.41.25),頭馬
20150415,04,11,紫電明珠,4,田泰安,118,11,45,呂,1138,13.0,18.0,13.0,139.0,123.0,4.6,2 3 3,2,27.97 25.28 25.13 23.18,(1.41.56),2
20150415,04,12,野外桃源,6,鄭雨滇,115,5,42,徐,1097,11.0,10.0,10.0,185.0,194.0,2.9,5 2 1,3,28.17 24.96 25.05 23.43,(1.41.61),2-1/4
20150415,04,2,為食仔,5,羅理雅,132,2,59,沈,1060,13.0,11.0,14.0,134.0,120.0,4.7,3 4 4,4,27.97 25.44 25.17 23.11,(1.41.69),2-3/4
20150415,04,9,騏名燈,4,何澤堯,122,4,51,方,1088,6.4,4.6,4.5,419.0,314.0,1.8,1 1 2,5,27.89 25.2 25.13 23.48,(1.41.7),2-3/4
20150415,04,5,神州魅力,4,楊明綸,129,9,58,蔡,1020,5.8,7.4,7.1,265.0,235.0,2.4,9 8 9,6,28.61 25.36 25.09 22.88,(1.41.94),4-1/4
20150415,04,7,馬利多,5,吳嘉晉,120,8,52,東,1085,13.0,18.0,22.0,84.0,85.0,6.6,8 9 8,7,28.61 25.36 25.09 22.89,(1.41.95),4-1/4
20150415,04,3,智高星,6,韋達,131,1,58,文,1137,11.0,8.5,10.0,183.0,169.0,3.3,6 6 7,8,28.21 25.44 25.13 23.17,(1.41.95),4-1/4
20150415,04,8,超群名駒,7,杜利萊,124,7,51,鄭,1098,7.8,9.0,10.0,181.0,183.0,3.1,10 11 10,9,28.93 25.36 24.93 22.86,(1.42.08),5-1/4
20150415,04,4,自成一格,6,薛寶力,131,12,58,葉,1122,24.0,34.0,32.0,58.0,101.0,5.5,11 10 11,10,29.01 25.2 25.09 22.84,(1.42.14),5-1/2
20150415,04,10,馬主光輝,8,連達文,123,10,50,告,1080,14.0,41.0,52.0,36.0,42.0,13.0,12 12 12,11,29.21 25.24 24.93 22.79,(1.42.17),5-3/4
20150415,04,6,鼓浪花園,6,梁家俊,125,3,54,蘇,1091,6.4,5.3,6.3,302.0,240.0,2.3,4 5 5,12,28.13 25.4 25.13 23.69,(1.42.35),6-3/4
