Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20130501,08,10,皇仁勁駒,6,鄭雨滇,118,9,61,鄭,1174,25.0,14.0,7.4,257.0,174.0,2.5,8 6,1,23.88 22.7 22.83,(1.09.41),頭馬
20130501,08,4,天賦傳奇,5,何澤堯,129,11,75,方,1152,34.0,47.0,33.0,56.0,71.0,6.2,3 4,2,23.44 22.94 23.09,(1.09.47),頸
20130501,08,1,御皇鷹,3,馬偉昌,133,3,81,摩,1086,16.0,16.0,20.0,95.0,99.0,4.5,5 3,3,23.56 22.78 23.41,(1.09.75),2
20130501,08,11,塑料盈,5,黎海榮,116,7,61,姚,1182,16.0,17.0,16.0,115.0,135.0,3.3,6 8,4,23.76 22.98 23.06,(1.09.8),2-1/2
20130501,08,5,如你所願,3,韋達,124,1,67,蔡,1196,1.4,1.7,1.8,1043.0,401.0,1.1,10 9,5,24.08 22.66 23.12,(1.09.86),2-3/4
20130501,08,7,仔仔女女,6,吳嘉晉,114,6,64,葉,1125,14.0,15.0,14.0,129.0,120.0,3.7,2 1,6,23.36 22.86 23.75,(1.09.97),3-1/2
20130501,08,9,頌友,3,蘇狄雄,116,5,62,徐,1177,25.0,8.2,8.4,228.0,194.0,2.3,4 5,7,23.52 22.94 23.52,(1.09.98),3-1/2
20130501,08,8,醉喜,5,梁家俊,117,10,62,蔡,1071,22.0,24.0,32.0,58.0,77.0,5.8,12 11,8,24.28 22.7 23.27,(1.10.25),5-1/4
20130501,08,2,無敵,5,柏寶,133,4,76,文,1169,21.0,11.0,13.0,146.0,148.0,3.0,7 7,9,23.8 22.82 23.79,(1.10.41),6-1/4
20130501,08,12,日月暉華,7,霍勵賢,117,2,60,華,1103,45.0,84.0,81.0,23.0,34.0,13.0,11 12,10,24.24 22.78 23.66,(1.10.68),8
20130501,08,6,健康精英,5,呂卓賢,114,8,67,苗,1178,26.0,15.0,15.0,126.0,124.0,3.6,1 2,11,23.36 22.9 24.48,(1.10.74),8-1/4
20130501,08,3,大家勝利,5,巫斯義,133,12,76,東,1132,25.0,30.0,44.0,42.0,43.0,10.0,9 10,12,24.04 22.82 24.12,(1.10.98),9-3/4
