Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20080525,09,1,陽光,5,柏寶,133,6,116,呂,1102,9.4,5.0,6.2,259.0,245.0,1.5-2.2,5  4,1,24.2	22.5	22.3,(1.09.0),頭馬
20080525,09,12,友利多,4,徐君禮,109,9,97,賀,1120,33.0,26.0,24.0,66.0,38.0,5.3-10,3  2,2,24.0	22.5	22.5,(1.09.0),短頭
20080525,09,11,開心歡笑,3,黎海榮,113,8,98,李,1099,1.8,2.4,2.3,692.0,415.0,1.3-1.6,2  3,3,24.0	22.7	22.5,(1.09.2),3/4
20080525,09,7,勁闖,8,高雅志,123,13,106,摩,1084,57.0,25.0,29.0,54.0,45.0,4.5-9,1  1,4,23.8	22.7	22.7,(1.09.2),1-1/4
20080525,09,9,皇帝出巡,5,巫斯義,122,7,105,東,1202,9.2,12.0,11.0,137.0,98.0,2.5-4.5,8  7,5,24.6	22.5	22.2,(1.09.3),1-1/2
20080525,09,4,黃鑽石,6,鄭雨滇,123,4,108,安,1165,9.1,6.8,7.4,216.0,184.0,1.6-2.7,6  6,6,24.3	22.6	22.4,(1.09.3),2
20080525,09,14,熊中雄,4,普萊西,113,1,95,時,1102,26.0,21.0,9.3,173.0,136.0,2-3.5,4  5,7,24.2	22.7	22.6,(1.09.5),3
20080525,09,10,常歡笑,5,楊啟棠,112,14,98,李,1114,28.0,29.0,23.0,70.0,37.0,5.4-10,14  12,8,25.4	22.0	22.2,(1.09.6),3-1/2
20080525,09,3,寶樹友盈,4,韋達,128,3,111,文,1176,24.0,14.0,14.0,109.0,76.0,3-5.6,7  8,9,24.4	22.7	22.5,(1.09.6),3-3/4
20080525,09,8,火焰之星,7,賴維銘,120,5,105,沈,1065,35.0,33.0,56.0,28.0,28.0,6.8-14,9  9,10,24.6	22.6	22.4,(1.09.6),3-3/4
20080525,09,5,心中有理,7,王志偉,121,11,107,賀,1145,31.0,36.0,42.0,37.0,43.0,4.8-9.5,11  13,11,24.8	22.6	22.3,(1.09.7),4-1/2
20080525,09,13,帝聖名駒,6,冼文諾,114,12,96,時,1078,65.0,49.0,54.0,29.0,21.0,9-18,12  10,12,24.8	22.4	22.7,(1.09.9),5-1/2
20080525,09,6,紅旗飛揚,8,薄奇能,124,10,107,李,1140,26.0,43.0,48.0,33.0,24.0,7.8-16,13  14,13,24.8	22.6	22.7,(1.10.1),6-3/4
20080525,09,2,步步勇,7,白德民,129,2,112,摩,1095,28.0,22.0,31.0,51.0,53.0,4-7.9,10  11,14,24.7	22.7	23.8,(1.11.2),13-3/4
