Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20081116,05,10,財子佳人,4,韋達,125,3,47,蔡,1033,5.0,3.8,3.8,324.0,210.0,1.6,8   6   5   5,1,27.02	24.51	25.28	23.95	23.58,(2.04.3),頭馬
20081116,05,12,善風,4,普萊西,120,7,42,苗,1056,7.2,5.4,4.5,275.0,215.0,1.6,3   4   4   3,2,26.5	24.75	25.28	23.99	23.97,(2.04.5),1
20081116,05,4,再來旺財,4,鄭雨滇,127,4,51,薛,1102,7.5,7.6,6.9,179.0,155.0,2.2,1   1   1   1,3,26.34	24.55	25.2	24.19	24.23,(2.04.5),1
20081116,05,14,羅漢,4,賴維銘,116,13,40,伍,1030,7.8,10.0,11.0,111.0,113.0,3.1,9   11   12   9,4,27.3	24.79	25.32	23.63	23.49,(2.04.5),1-1/4
20081116,05,5,金寶駿,5,冼毅力,128,11,50,賀,1128,6.5,6.8,7.4,165.0,118.0,2.9,12   12   13   13,5,27.66	24.67	25.44	23.67	23.49,(2.04.9),3-3/4
20081116,05,2,心寶貝,7,潘頓,131,12,53,蘇,1242,16.0,18.0,22.0,53.0,54.0,6.4,13   13   11   12,6,27.82	24.51	25.08	23.83	23.69,(2.04.9),3-3/4
20081116,05,6,歡樂滿堂,7,徐君禮,125,10,50,東,1073,21.0,27.0,36.0,33.0,27.0,12.0,11   10   10   10,7,27.46	24.59	25.32	23.71	23.97,(2.05.0),4-1/2
20081116,05,8,勁兔,9,杜利萊,125,5,47,告,1061,20.0,23.0,24.0,49.0,74.0,4.7,10   7   7   8,8,27.3	24.47	25.32	23.87	24.14,(2.05.1),4-3/4
20081116,05,11,競秀精神,4,湯智傑,115,1,42,苗,1094,22.0,32.0,22.0,54.0,42.0,8.3,4   3   3   4,9,26.66	24.47	25.24	24.15	24.63,(2.05.2),5
20081116,05,1,安翹,7,高雅志,132,8,54,鄭,1060,14.0,10.0,12.0,96.0,95.0,3.7,2   2   2   2,10,26.38	24.63	25.28	24.23	24.9,(2.05.4),6-3/4
20081116,05,9,龍翔,7,楊明綸,115,9,47,徐,1089,22.0,35.0,26.0,46.0,42.0,8.2,7   9   9   11,11,26.9	24.99	25.24	24.07	24.31,(2.05.5),7-1/4
20081116,05,13,真心馬主,7,黎海榮,117,2,41,吳,1139,16.0,21.0,26.0,47.0,62.0,5.5,6   8   8   6,12,26.86	24.95	25.32	23.71	24.88,(2.05.7),8-3/4
20081116,05,7,勁者,6,馬偉昌,127,6,49,薛,1216,16.0,20.0,25.0,47.0,47.0,7.3,14   14   14   14,13,28.06	24.51	25.28	24.03	23.85,(2.05.7),8-3/4
20081116,05,3,天才小子,4,都爾,130,14,52,呂,1134,51.0,79.0,99.0,12.0,14.0,23.0,5  5  6  7,14,26.7	24.83	25.28	24.07	25.4,(2.06.3),12-1/4
