Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20161112,10,9,經典帝國,4,蔣嘉琦,118,14,71,賢,1128,31.0,29.0,12.0,248.0,245.0,3.4,1 1 1,1,24.59 24.27 23.4 22.78,(1.35.04),頭馬
20161112,10,6,哈蝦巴爸,4,莫雷拉,125,3,73,蔡,1101,10.0,6.6,7.4,419.0,284.0,2.9,4 4 4,2,25.07 24.11 23.36 22.53,(1.35.07),短頭
20161112,10,1,君臨大地,4,柏寶,131,2,79,時,1019,5.2,5.4,4.9,634.0,476.0,1.7,6 6 6,3,25.47 24.11 23.2 22.47,(1.35.25),1-1/4
20161112,10,4,萬馬飛騰,4,潘頓,127,4,75,方,991,10.0,10.0,11.0,285.0,264.0,3.2,7 7 7,4,25.55 24.23 23.2 22.27,(1.35.25),1-1/4
20161112,10,5,人民武士,4,祈普敦,125,7,73,摩,1170,7.3,8.7,10.0,293.0,213.0,3.9,5 5 5,5,25.27 24.23 23.28 22.49,(1.35.27),1-1/2
20161112,10,11,龍船鼓響,4,蘇兆輝,120,9,68,姚,1054,4.4,3.6,4.4,704.0,458.0,1.8,12 11 10,6,26.07 24.03 23.16 22.25,(1.35.51),3
20161112,10,10,快樂寶貝,5,杜利萊,121,6,69,沈,1099,23.0,22.0,13.0,229.0,265.0,3.1,2 3 3,7,24.83 24.31 23.4 23.03,(1.35.57),3-1/4
20161112,10,3,高利多,6,寶遜,128,8,76,容,1141,18.0,23.0,18.0,167.0,152.0,5.5,11 12 12,8,26.03 24.19 23.08 22.52,(1.35.82),5
20161112,10,7,加州再豫,4,蔡明紹,124,13,72,東,1190,23.0,22.0,20.0,150.0,151.0,5.5,3 2 2,9,24.87 24.11 23.32 23.6,(1.35.9),5-1/2
20161112,10,8,友誼之星,4,郭能,124,11,72,蘇,1138,6.6,9.5,8.4,371.0,261.0,3.2,10 10 9,10,25.91 24.11 23.16 22.75,(1.35.93),5-1/2
20161112,10,13,駕喜,6,黎海榮,119,1,67,文,1165,44.0,99.0,189.0,16.0,26.0,32.0,8 8 8,11,25.71 24.11 23.2 23.01,(1.36.03),6-1/4
20161112,10,12,雷公鑿,4,何澤堯,117,10,67,徐,1157,77.0,99.0,310.0,10.0,14.0,57.0,13 13 13,12,26.23 24.19 23.16 22.48,(1.36.06),6-1/2
20161112,10,14,雄心速龍,5,史卓豐,118,12,66,高,1088,10.0,9.9,12.0,248.0,217.0,3.8,14 14 14,13,26.31 24.19 23.16 22.51,(1.36.17),7
20161112,10,2,奇妙星光,3,莫艾誠,128,5,76,何,1017,73.0,99.0,199.0,15.0,22.0,36.0,9 9 11,14,25.75 24.23 23.32 23.16,(1.36.46),9
