Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20091219,05,12,滿高,7,卓利,120,6,46,文,1100,30.0,43.0,51.0,28.0,35.0,10.0,12 12 11,1,14.14 22.44 23.78 23.06,(1.23.42),頭馬
20091219,05,2,軍士,5,王志偉,129,9,58,賀,1052,12.0,14.0,17.0,84.0,66.0,5.4,9 10 7,2,14.02 22.28 23.86 23.26,(1.23.42),短頭
20091219,05,1,幸運愛駒,3,白德民,133,5,59,摩,1181,5.1,4.1,3.6,404.0,235.0,1.5,4 3 1,3,13.66 21.92 24.14 24.08,(1.23.8),2-1/2
20091219,05,7,九龍寶,4,韋達,126,10,52,蔡,1140,10.0,11.0,15.0,93.0,81.0,4.3,13 13 13,4,14.34 22.6 23.66 23.3,(1.23.9),3
20091219,05,13,勁快,4,鄭雨滇,117,13,45,呂,1092,15.0,14.0,11.0,130.0,139.0,2.5,2 2 5,5,13.66 21.92 24.5 23.83,(1.23.91),3
20091219,05,4,綠茵勁贏,4,勞愛德,128,3,54,徐,1056,13.0,13.0,8.9,167.0,136.0,2.6,7 8 8,6,13.94 22.2 24.06 23.72,(1.23.92),3-1/4
20091219,05,14,私家路,4,潘頓,118,2,43,李,1179,11.0,18.0,22.0,66.0,60.0,5.9,8 6 9,7,13.94 22.04 24.26 23.76,(1.24.00),3-3/4
20091219,05,3,魅力心,4,柏威廉,128,4,54,吳,1055,27.0,64.0,68.0,21.0,26.0,13.0,10 11 12,8,14.1 22.32 23.98 23.65,(1.24.05),4
20091219,05,9,豪情拍檔,4,韋健仕,126,1,52,鄭,1152,10.0,6.8,9.5,155.0,132.0,2.7,11 9 10,9,14.14 22.04 24.06 24.03,(1.24.27),5-1/4
20091219,05,6,一飛沖天,4,衛韜禮,126,7,52,胡,1079,40.0,99.0,99.0,8.0,10.0,33.0,5 5 4,10,13.82 22.08 24.14 24.3,(1.24.34),5-3/4
20091219,05,10,綠衣郎,4,黎海榮,123,8,51,安,1117,41.0,67.0,95.0,15.0,20.0,17.0,1 4 3,11,13.62 22.08 24.22 24.64,(1.24.56),7-1/4
20091219,05,5,吉利多,4,柏寶,128,11,54,薛,1190,3.0,2.9,2.9,516.0,243.0,1.4,6 7 6,12,13.9 22.2 24.02 24.9,(1.25.02),10
20091219,05,8,特勒驃,4,杜利萊,126,12,52,蘇,1037,64.0,69.0,99.0,14.0,13.0,26.0,14 14 14,13,14.58 22.6 23.54 25.08,(1.25.8),15
20091219,05,11,雄聖,5,梁家俊,117,14,50,葉,1222,20.0,18.0,15.0,93.0,100.0,3.5,3 1 2,14,13.66 21.76 24.34 26.61,(1.26.37),18-1/2
