Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20140409,07,12,凱倫之寶,3,莫雷拉,116,8,63,沈,993,3.4,2.8,2.3,1027.0,524.0,1.1,11 11 10,1,28.81 23.64 24.36 22.64,(1.39.45),頭馬
20140409,07,1,香港興旺,5,杜利萊,133,11,80,葉,1031,9.2,11.0,15.0,148.0,158.0,3.9,3 3 2,2,28.01 23.56 24.6 23.32,(1.39.49),頸
20140409,07,6,真慷慨,6,賴維銘,127,1,74,葉,1121,15.0,16.0,22.0,105.0,134.0,4.5,8 9 6,3,28.53 23.68 24.32 23.13,(1.39.66),1-1/4
20140409,07,4,皇者拍檔,5,潘頓,130,3,77,方,1080,4.7,3.9,4.3,546.0,389.0,1.6,5 5 4,4,28.21 23.68 24.44 23.34,(1.39.67),1-1/4
20140409,07,8,聰明波,4,吳嘉晉,118,2,70,東,1056,6.0,4.4,5.0,468.0,323.0,1.9,2 1 1,5,27.85 23.4 24.84 23.6,(1.39.69),1-1/2
20140409,07,2,鴻福滿滿,5,韋達,131,12,78,文,1141,11.0,21.0,25.0,92.0,131.0,4.7,10 8 9,6,28.73 23.44 24.6 23.06,(1.39.83),2-1/2
20140409,07,7,大將風雲,5,田泰安,123,4,70,苗,1180,8.7,10.0,10.0,217.0,209.0,2.9,4 4 5,7,28.01 23.8 24.6 23.58,(1.39.99),3-1/4
20140409,07,9,勁飛揚,7,鄭雨滇,119,9,66,呂,1151,23.0,39.0,38.0,61.0,90.0,6.8,7 6 7,8,28.37 23.56 24.64 23.52,(1.40.09),4
20140409,07,3,馬飛龍,4,郭能,130,5,77,賢,1054,26.0,80.0,99.0,19.0,34.0,18.0,6 7 8,9,28.33 23.68 24.64 24.43,(1.41.08),10-1/4
20140409,07,11,喜利高,5,湯智傑,116,7,65,徐,1150,35.0,39.0,23.0,99.0,154.0,4.0,1 2 3,10,27.73 23.72 24.8 25.22,(1.41.47),12-1/2
20140409,07,10,領先直前,3,蘇狄雄,116,6,70,何,1016,58.0,99.0,99.0,10.0,20.0,30.0,9 10 11,11,28.57 23.68 24.72 24.59,(1.41.56),13-1/4
20140409,07,5,福到威威,6,柏寶,129,10,76,容,1081,27.0,43.0,59.0,39.0,69.0,8.8,12 12 12,12,28.97 23.52 24.84 32.4,(1.49.73),64-1/4
20140421,10,10,醉喜,6,薛寶力,122,7,67,葉,1052,59.0,99.0,99.0,15.0,28.0,25.0,10 10 8,13,14.13 22.08 23.24 25.97,(1.25.42),18-3/4
20140421,08,8,財運,6,呂卓賢,112,5,66,容,1191,9.7,8.2,11.0,179.0,164.0,3.4,2 3 9,14,27.73 22.93 24.36 26.53,(1.41.55),19
