Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20150906,10,1,英明神勇,5,莫雷拉,133,10,79,呂,1115,4.8,3.8,3.1,745.0,417.0,1.5,5 6 5,1,13.84 22.42 23.93 22.67,(1.22.86),頭馬
20150906,10,4,勁嘉輝,5,羅理雅,126,4,72,徐,1121,7.3,6.2,6.2,371.0,340.0,1.9,11 7 4,2,14.16 22.1 23.89 22.72,(1.22.87),短頭
20150906,10,9,歡樂一生,4,霍勵賢,118,9,64,高,1069,7.4,5.2,5.5,417.0,378.0,1.7,12 12 11,3,14.2 22.46 23.81 22.48,(1.22.95),1/2
20150906,10,7,牛精叻仔,4,郭能,120,13,65,東,1095,18.0,23.0,20.0,114.0,137.0,4.7,1 1 1,4,13.64 21.94 24.09 23.31,(1.22.98),3/4
20150906,10,6,錦繡河山,6,吳嘉晉,115,11,66,葉,1139,45.0,99.0,161.0,14.0,21.0,29.0,13 13 12,5,14.52 22.46 23.49 22.72,(1.23.19),2
20150906,10,10,至尊飛星,7,田泰安,118,6,64,苗,1064,28.0,42.0,40.0,56.0,76.0,8.5,10 10 7,6,14.12 22.46 23.73 23.02,(1.23.33),3
20150906,10,13,伽楠,5,史卓豐,117,14,63,摩,1176,21.0,34.0,38.0,59.0,79.0,8.1,2 2 2,7,13.68 21.94 24.17 23.55,(1.23.34),3
20150906,10,11,勁新鮮,5,湯智傑,116,1,64,姚,1190,13.0,53.0,44.0,51.0,56.0,11.0,4 4 3,8,13.84 22.02 24.01 23.55,(1.23.42),3-1/2
20150906,10,3,行善積福,5,巫斯義,128,12,74,文,1116,5.6,6.1,7.6,299.0,260.0,2.5,9 11 9,9,14 22.62 23.69 23.28,(1.23.59),4-1/2
20150906,10,12,威勢之寶,5,蔡明紹,117,5,63,胡,1151,39.0,99.0,167.0,13.0,21.0,30.0,14 14 14,10,14.8 22.22 23.57 23.01,(1.23.6),4-3/4
20150906,10,5,總統至上,5,韋達,123,8,69,沈,1186,5.8,4.2,5.0,460.0,336.0,1.9,8 9 8,11,14 22.42 23.89 23.35,(1.23.66),5
20150906,10,2,步步領先,5,黃皓楠,121,3,77,容,1113,22.0,27.0,20.0,111.0,157.0,4.1,7 8 13,12,14 22.3 24.21 23.34,(1.23.85),6-1/4
20150906,10,14,風雲,7,楊明綸,121,7,69,文,1132,18.0,33.0,39.0,58.0,72.0,9.0,6 5 10,13,13.84 22.26 24.29 24.49,(1.24.88),12-3/4
20150906,10,8,勁風,3,何澤堯,116,2,64,方,1149,35.0,99.0,222.0,10.0,14.0,45.0,3 3 6,14,13.8 22.06 24.37 24.66,(1.24.89),12-3/4
