Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20100523,09,4,旅英駿駒,3,韋達,126,12,75,文,1036,4.8,3.5,3.4,476.0,260.0,1.2,4 3,1,24.41 22.67 23.04,(1.10.12),頭馬
20100523,09,3,飛闖,3,白德民,127,9,76,摩,1111,3.2,2.2,2.5,639.0,267.0,1.2,1 1,2,24.09 22.75 23.32,(1.10.16),頸
20100523,09,12,蜚聲,3,柏寶,120,11,64,姚,1084,4.2,4.4,3.4,475.0,235.0,1.4,11 11,3,25.05 22.75 22.7,(1.10.5),2-1/2
20100523,09,9,濃情,3,梁家俊,117,3,66,胡,1099,31.0,53.0,63.0,25.0,31.0,10.0,10 9,4,25.01 22.75 22.76,(1.10.52),2-1/2
20100523,09,2,高一線,4,卓利,129,8,73,時,1113,23.0,38.0,40.0,40.0,42.0,7.8,12 12,5,25.13 22.87 22.53,(1.10.53),2-1/2
20100523,09,6,希望之星,5,黎海榮,121,6,65,李,1148,40.0,99.0,99.0,8.0,10.0,31.0,2 2,6,24.17 22.71 23.97,(1.10.85),4-1/2
20100523,09,8,進取,4,梁明偉,120,10,67,何,1091,24.0,35.0,33.0,48.0,65.0,5.0,8 8,7,24.77 22.91 23.26,(1.10.94),5-1/4
20100523,09,11,幸運傳奇,4,普萊西,121,2,65,方,1093,10.0,13.0,13.0,121.0,123.0,2.7,5 6,8,24.57 22.95 23.46,(1.10.98),5-1/2
20100523,09,1,搖滾雄豐,5,杜利萊,131,4,75,蘇,1132,28.0,26.0,32.0,49.0,55.0,6.0,6 5,9,24.57 22.79 23.86,(1.11.22),7
20100523,09,5,大地王者,3,都爾,124,13,73,華,1008,40.0,99.0,99.0,7.0,9.0,33.0,13 13,10,25.37 22.87 23.4,(1.11.64),9-1/2
20100523,09,13,名店之星,6,潘頓,129,7,73,徐,1091,16.0,71.0,99.0,15.0,19.0,17.0,7 7,11,24.73 22.83 24.38,(1.11.94),11-1/2
20100523,09,7,彪形好漢,3,勞愛德,123,5,67,鄭,1047,31.0,50.0,64.0,25.0,30.0,10.0,3 4,12,24.37 22.91 24.87,(1.12.15),12-3/4
20100523,09,10,威馬加鞭,6,王志偉,119,1,66,賀,1301,15.0,42.0,46.0,35.0,50.0,6.5,9 10,13,24.85 22.95 25.44,(1.13.24),19-1/2
20100523,09,14,來福,4,蔡明紹,115,8,62,蔡,1167,0.0,0.0,0.0,0.0,0.0,0.0,0 0,-,0,(-), 
