Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20090124,07,7,好日子,5,巫斯義,124,3,86,蔡,1162,2.6,2.2,2.3,697.0,323.0,1.2,9 9 8 6,1,14.41 23.1 23.37 23.52 23.3,(1.47.7),頭馬
20090124,07,3,漂亮第一,4,蘇銘倫,128,5,90,東,1151,4.2,7.6,9.8,165.0,111.0,3.5,5 4 4 3,2,14.09 22.78 23.33 23.96 23.98,(1.48.1),2-3/4
20090124,07,11,動力,4,柏寶,118,1,80,吳,1107,11.0,10.0,7.2,223.0,155.0,2.5,7 7 6 7,3,14.25 23.1 23.37 23.68 23.87,(1.48.3),3-1/2
20090124,07,8,睡得好,4,衛韜禮,122,6,84,薛,1106,14.0,15.0,15.0,106.0,122.0,3.1,8 8 9 9,4,14.33 23.14 23.49 23.68 23.81,(1.48.4),4-3/4
20090124,07,9,澤驛駿驥,4,梁家俊,111,8,83,徐,1072,28.0,76.0,63.0,25.0,31.0,12.0,2 3 3 4,5,13.89 22.9 23.41 24 24.29,(1.48.5),5
20090124,07,4,神州之星,5,韋健仕,126,10,88,方,1212,33.0,22.0,17.0,91.0,73.0,5.2,4 2 2 1,6,14.09 22.54 23.33 24.08 24.47,(1.48.5),5
20090124,07,2,旺國手,5,靳能,131,11,93,方,1111,8.5,7.8,7.0,231.0,175.0,2.2,11 11 11 11,7,14.81 23.1 23.25 23.68 23.81,(1.48.6),6
20090124,07,10,皇馬,4,普萊西,119,9,81,李,1205,20.0,21.0,29.0,54.0,60.0,6.3,10 10 10 10,8,14.49 23.26 23.41 23.52 24.01,(1.48.7),6-1/4
20090124,07,6,陽明寶寶,4,杜利萊,125,2,87,徐,1113,31.0,32.0,24.0,67.0,76.0,5.0,6 6 7 8,9,14.21 23.02 23.49 23.92 24.29,(1.48.9),7-3/4
20090124,07,5,永旺財,5,鄭雨滇,124,7,88,沈,1078,31.0,51.0,54.0,29.0,33.0,11.0,1 1 1 2,10,13.77 22.74 23.33 24.24 25.64,(1.49.7),12-1/2
20090124,07,1,同一夢想,6,潘頓,133,4,95,摩,1098,6.9,5.2,5.9,276.0,244.0,1.6,3 5 5 5,11,13.97 22.98 23.53 23.88 25.92,(1.50.3),16
