Date,RaceNumber,HorseNo,HorseName,Age,JockeyName,ActualWt,Draw,Rate,Owner,DeclarHorseWt,WinOddBeforeNight,WinOddBeforeGate,WinOdd,WinInTenThousand,PInTenThousand,P_Odd,PlaceInMiddle,Place,TimeInMiddle,FinishTime,LBW
20121125,09,1,蒜頭仔,4,安國倫,131,14,74,葉,1092,2.2,1.5,2.0,1112.0,410.0,1.3,13 11 11,1,25.54 24.01 24.66 22.73,(1.36.94),頭馬
20121125,09,13,博愛福星,6,鄭雨滇,118,10,61,鄭,1034,12.0,17.0,20.0,107.0,195.0,2.8,12 12 9,2,25.46 24.13 24.5 22.91,(1.37.00),頸
20121125,09,14,喜勝多,4,霍勵賢,118,2,61,苗,1048,9.1,7.2,4.3,512.0,341.0,1.6,6 7 10,3,24.9 24.33 24.94 23.02,(1.37.19),1-1/2
20121125,09,11,樂馳,5,梁家俊,118,8,63,何,1161,11.0,15.0,12.0,183.0,188.0,2.9,8 9 5,4,25.14 24.17 24.62 23.36,(1.37.29),2-1/4
20121125,09,2,奪金,4,柏寶,127,12,70,賀,1123,14.0,16.0,11.0,189.0,201.0,2.7,10 8 8,5,25.3 24.01 24.74 23.26,(1.37.31),2-1/4
20121125,09,12,瀟灑駿駒,4,黎海榮,117,7,62,文,1179,54.0,99.0,99.0,13.0,24.0,22.0,1 1 1,6,24.42 24.17 25.02 23.71,(1.37.32),2-1/2
20121125,09,5,豐華盛甲,4,杜利萊,124,11,67,高,1163,32.0,31.0,33.0,65.0,74.0,7.5,9 10 12,7,25.14 24.37 24.74 23.21,(1.37.46),3-1/4
20121125,09,4,龍騰虎震,4,呂卓賢,116,5,69,摩,1064,35.0,99.0,99.0,18.0,24.0,22.0,3 2 3,8,24.58 24.21 25.02 23.79,(1.37.6),4-1/4
20121125,09,9,非洲之光,4,李寶利,120,6,63,沈,1073,22.0,52.0,55.0,40.0,51.0,10.0,11 13 14,9,25.38 24.41 24.62 23.27,(1.37.68),4-3/4
20121125,09,3,喜來仙子,5,蔡明紹,125,4,70,東,1089,9.4,11.0,12.0,172.0,173.0,3.2,2 3 2,10,24.58 24.21 25.02 23.98,(1.37.79),5-1/4
20121125,09,10,薄荷糖,5,何澤堯,117,3,63,方,1074,16.0,35.0,30.0,73.0,90.0,6.1,5 5 4,11,24.74 24.29 24.9 23.9,(1.37.83),5-1/2
20121125,09,6,勇進,3,馬偉昌,123,1,66,時,1016,15.0,25.0,20.0,108.0,139.0,4.0,4 6 6,12,24.74 24.33 24.9 23.87,(1.37.84),5-3/4
20121125,09,8,樂有贏,5,郭立基,122,13,65,姚,1096,27.0,42.0,27.0,79.0,83.0,6.6,7 4 7,13,24.9 24.13 24.98 23.91,(1.37.92),6-1/4
20121125,09,7,天山,4,薛寶力,123,9,66,胡,1143,43.0,99.0,99.0,14.0,26.0,20.0,14 14 13,14,25.54 24.29 24.5 24.47,(1.38.8),11-3/4
