,horse_name,win_loss_rate,is_winner
0, 威仔皇  ,36.0,0
1, 魄力寶  ,99.0,0
2, 聖樂邦  ,18.0,0
3, 新力飛  ,3.1,0
4, 肥仔糖  ,7.1,0
5, 京城之霸,54.0,0
6, 田園名駒,2.65,1
7, 翡翠海星,7.2,0
8, 精英勇士,11.0,0
9, 普梳王  ,46.0,0
10, 危險英駿,52.0,0
