,horse_name,win_loss_rate,is_winner
0, 錢途光明,49.0,0
1, 戰士    ,3.9,0
2, 寶利多  ,18.0,0
3, 聖河    ,41.0,0
4, 駿飛翔  ,3.7,1
5, 多多昇  ,5.95,0
6, 衝勁寶  ,12.0,0
7, 虎威將軍,25.0,0
8, 跑得叻  ,5.1,0
9, 龍得風雲,42.0,0
10, 鄉村傳奇,18.0,0
11, 駿盈    ,36.0,0
