,horse_name,win_loss_rate,is_winner
0, 君悅灣  ,6.6,0
1, 領航大師,6.5,0
2, 雷超    ,99.0,0
3, 星二快勝,5.55,0
4, 寶正寶  ,4.6,1
5, 風采    ,10.0,0
6, 勝利威  ,49.0,0
7, 聚歡笑  ,7.95,0
8, 豐盛人生,99.0,0
9, 識飛    ,6.25,0
10, 當旺財  ,99.0,0
11, 威震天  ,10.0,0
