,horse_name,win_loss_rate,is_winner
0, 又快又勁,14.0,0
1, 貝利高  ,12.0,0
2, 最佳孖寶,99.0,0
3, 按得快  ,6.7,0
4, 非我莫屬,15.0,0
5, 璐悅    ,14.0,0
6, 永勝多  ,4.4,0
7, 精彩生輝,3.05,1
8, 正黃旗  ,26.0,0
9, 喜盛龍  ,8.8,0
10, 金玉滿堂,68.0,0
11, 中國神農,41.0,0
12, 名店之星,99.0,0
13, 魅力漢子,51.0,0
